target_index,sample_domain,sample_id,src,ref
1092,news,internal-11929688.news,"""מלחמת העולם השלישית תהיה מלחמת האקרים אך העולם לא ערוך אליה"".","“World War III will be a war of hackers, but the world is not prepared for it”."
1111,news,sport-11894975.news,"""יש לי עכשיו קצת לחץ כי אני צריך לעבור דירה עם המשפחה אחרי שהשתקענו באזור המרכז וזה לא קל, אבל אין כבר טלפונים ומבחינה מקצועית אני הרבה יותר רגוע"".","“I am a bit stressed now because I have to relocate with my family after living in the central district and it isn’t easy, but there are no more phone calls and of a professional point of view I’m much calmer”."
1153,news,sport-11901982.news,הגארד ווייד בולדווין עשוי להצטרף לצהובים ולהשלים את הקו האחורי של עודד קטש לקראת עונת 2022/2023.,"Guard, Wade Baldwin, may join the Yellow Shirts and complete Oded Katash’s back line for the 2022/2023 season."
1169,news,sport-11918887.news,במכבי תל אביב הודיעו הערב (שלישי) כי הגיעו לסיכום עם זולטה וארגם מהליגה הבלגית על מכירתו של נובאטוס מירושי.,Maccabi Tel Aviv announced this evening (Tuesday) that they reached an agreement with Zulte Waregem from the Belgian league regarding the selling of Novatus Miroshi.
1197,news,sport-6657351.news,"הקבוצה של אריאל בית הלחמי חיברה ניצחון שלישי ברצף, הפעם מרשים במיוחד •","Ariel Beit Ha-Lahmi’s team scored a third victory in a row, this time particularly impressive •"
1198,news,sport-6657351.news,"הובר ושוכמן (15 כ""א) הצטיינו",Huber and Shuchman (15 each one) excelled
1263,news,sport-6671743.news,"חגיגות צהובות: ""הייתה הרגשה שכל העולם נגדנו""",Yellow celebrations: “There was a feeling that the whole world was against us”
1326,news,tech-10794134.news,"מאסק מחכה לשובו של טראמפ: ""לא היה נכון לחסום אותו""",Musk is waiting for Trump’s return: “It was wrong to block him”
1336,news,tech-10857141.news,"מחקר חדש ומטריד שפורסם לאחרונה בכתב העת Earth’s Future, צופה כי עד שנת 2050 כמות המים הזמינים לחקלאות תקטן בכ-80% במידה וקצב צריכת המים וגידול אוכלוסיית העולם יישארו במגמות השימוש הנוכחיות שלהן.",A disturbing new study recently published in the journal Earth’s Future predicts that by 2050 the amount of water available for agriculture will decrease by about 80% if the rate of water consumption and world population growth remain at their current usage trends.
1337,news,tech-10857141.news,"במחקר, בו השתתפו מדענים מכל סוכנויות המדע בעולם, סיכמו המדענים את כלל כמות מי הגשמים, הנהרות ומקורות המים המתוקים בעולם והשוו אותה לצורך של האנושות בחקלאות.","In a study, in which scientists of every science agencies in the world took part, the scientists summarized the total amount of rainwater, rivers and fresh water sources in the world and compared it to humanity’s need for agriculture."
1339,news,tech-10857141.news,"על פי שכלול נתוני המחקר, 84% מהקרקעות המיועדות לחקלאות בעולם יחוו מחסור כבד במי גשמים.","According to the analysis of research data, 84% of the global agricultural lands will suffer severe shortages of rainwater."
1342,news,tech-4475059.news,מידע על סטודנטים רבים מאוניברסיטת בר אילן דלף לרשת,Information about many students from Bar Ilan University was leaked to the web
1346,news,tech-4475059.news,"ההערכות לגבי סכום הכסף אותו דרש התוקף הן שמדובר בסכום שהחל באלפי דולרים וככל שהשעון נקף, הוא עלה ולפני שהמידע פורסם הוא כבר הגיע לכמה מיליוני דולרים.","The estimated amount of money that the hacker demanded is unclear since the amount started in the thousands of dollars and as the clock ticked, it increased, so just before the information was published it had already reached several million of dollars."
1377,news,tech-4529876.news,"""אין קורלציה בין התחושות לפיתוח נוגדנים נגד הווירוס.",“There is no correlation between the feelings and the development of antibodies against the virus.
1402,news,tech-4531486.news,אלפים נפגעו: מחדל פרטיות חמור בכביש 6,Thousands were injured: a serious breach of privacy on Route 6
1427,news,travel-11738742.news,סיורים חינמיים בלוקיישנים של הסדרות הפופולריות ביותר של שירות הסטרימינג.,Free tours of locations of the streaming service’s most popular series.
1445,news,travel-11848012.news,כך המהלך יתבצע: מטוסי הדרימליינר שטסים לקנדה ישוחררו לטובת טיסות ארוכות למזרח.,This is how the move will be made: the Dreamliner planes that fly to Canada will be released in favor of long flights to the East.
1453,news,travel-11904005.news,איך תדעו מה תנאי הכבודה של חברת התעופה?,How will you know what the airline’s baggage conditions are?
1455,news,travel-11904005.news,"קבוצת לופטהנזה (סוויס, אוסטריאן ולופטהנזה) – כרטיס הלייט כולל כבודת יד בלבד, אם תרצו להוסיף מזוודה, תצטרכו לעשות את זה שבעה ימים מראש דרך האתר בעלות של 70 דולרים לכיוון, בטלפון זה יעלה לכם 80 דולרים ובנמל התעופה 100 דולרים.","Lufthansa Group (Swiss, Austrian and Lufthansa)—the Lite ticket includes hand luggage only, if you want to add a suitcase, you will have to do it seven days in advance through the website at a cost of 70 dollars one way, by phone it will cost you 80 dollars and at the airport 100 dollars."
1517,news,travel-6725307.news,"כעת, הבידוד שיצטרכו להיכנס אליו המחוסנים והמחלימים שחוזרים ממדינות כתומות הוא ל־24 שעות לכל היותר, או עד קבלת התוצאות של בדיקות הקורונה שמבוצעות לאחר הנחיתה בנתב""ג (המוקדם מביניהם).","Now, the isolation that the vaccinated and convalescents returning from orange countries will have to go into is for 24 hours at most, or until the results of the corona tests are received after landing in Israel (whichever comes first)."
1518,news,travel-6725307.news,"מי שלא מוגדר מחוסן או מחלים יחויב בכל זאת להיכנס לשבעה ימי בידוד בכפוף לשתי בדיקות קורונה, או 14 ימים ללא הבדיקה השנייה, גם אם חזר ממדינה כתומה וגם אם חזר ממדינה אדומה.","Those who are not defined as vaccinated or recovering will still be required to enter seven days of isolation subject to two corona tests, or 14 days without the second test, even if they returned from an orange country and if they returned from a red country."
1550,news,travel-6742632.news,"חברת התעופה הגדולה בישראל מדווחת על עלייה בביקושים לטיסות לחו""ל מאז ההודעה אתמול על ההקלות המשמעותיות לטסים.",Israel’s largest airline reports an increase in demand for flights abroad since yesterday’s announcement of the significant concessions for airline passengers.
1554,news,travel-6742632.news,"חשוב לזכור שמדובר במספר מוגבל של כרטיסים (כ-4,000) והמחיר לא כולל כבודה ובחירת מושב.","It is important to remember that only a limited number of tickets (about 4,000) are offered and the price will not include baggage and seat selection."
1564,user_review,business-6660508.ugc,"היה יותר מעניין לשמוע כמה אנשים קיבלו קיצבאות בדואר ישראל, כמה שווה הנדל״ן של הסניפים (הממוקמים במרכזי הערים המובקשים), וכמה השכר של העובדים (מינימום).","It would have been more interesting to hear how many people received allowances at Israel Post, how much the real estate of the branches (located in the centers of the requested cities) is worth, and how much is the wages of the employees (minimal wages)."
1618,user_review,celebrities-7966246.ugc,מוכשרת בטירוף.,Extremely talented.
1619,user_review,celebrities-7966246.ugc,מחכה בצפייה רבה להופעות שלה,Looking forward to her shows
1621,user_review,celebrities-7966246.ugc,אלופת עולם את !,You are a world champion!
1636,user_review,culture-11929702.ugc,חבל שלא השתתף באירוויזיון,It’s a shame he didn’t participate in the Eurovision contest
1641,user_review,culture-11929702.ugc,מי זה?!,Who is he?!
1642,user_review,culture-11929702.ugc,למה הוא מופיע באתר חדשות??,Why does he appear on a news site??
1653,user_review,health-6945555.ugc,אופטומטריסטית קלינית?!,A clinical optometrist?!
1684,user_review,sport-11901982.ugc,חסר למכבי כוכב,Maccabi lacks a star
1692,user_review,sport-11927854.ugc,צריך עוד ישראלים חזקים בסגל.,We need more strong Israelis on the staff.
1693,user_review,sport-11927854.ugc,כאלה שממש משחקים,The kind who really play
1696,user_review,sport-11927854.ugc,"אולי יכולות אישיות עדיין לר משתווה לסקוטי אך שחקן קבוצתי ,ובעיקר אינטלגנציית משחק גבוהים בהרבה","Perhaps his personal abilities are not yet equal to the Scott player, but he is a team player, and particularilyly his game intelligence is much higher"
1705,user_review,sport-6663385.ugc,"לגבי הישראלים, הוא צודק לגמרי!!","Concerning the Israelis, he is absolutely right!!"
1712,user_review,sport-6663385.ugc,בתמונה לא פדרמן.,Federman is not relevant.
1716,user_review,sport-6671743.ugc,וחיזוק משמעתי ונדרש של רכז וגארד,and a significant and necessary strengthening of the center and guard
1719,user_review,tech-10576693.ugc,האינטראקציה האנושית הבלתי אמצעית חשובה מהרבה מאוד היבטים.,The immediate human interaction is important in many ways.
1724,user_review,tech-10857141.ugc,מישהו פה פספס פרט חשוב,Someone here missed an important detail
1727,user_review,tech-10857141.ugc,הם עובדים על עוד ועוד חיסונים ושיטות ממזריות להשמיד את אוכלוסיית העולם אז הם מספרים לנו סיפורי פוגי על התחממות ועוד שטויות שהם ממציאים,They are working on more and more vaccines and crappy methods to destroy the world’s population and then they tell us fake stories about global warming and such nonsense they invented
1728,user_review,tech-10857141.ugc,"אין שום בעייה להתפיל מים, בכמויות ללא הגבלה","There is no problem to desalinate drinking water, in unlimited quantities"
1771,user_review,travel-11848012.ugc,"עוד בושה אחת גדולה , אנחנו בישראל שבויים בידי חברת אלעל כל הטיסות הישירות בידיה חזירות מחירים עדיף שתפשוט רגל כבר ,הגיע זמן לשמיים פתוחים באמת.4","One more big shame, we in Israel are held captive by El Al, all direct flights are in its hands, elevated prices, it’s better that it goes bankrupt now, it’s time for truly open skies.4"
1793,user_review,travel-11904005.ugc,ואתם תבעו ברכבת לשדה,And you will travel by train to the airport.
1797,user_review,travel-11904005.ugc,וויז אייר על מטען והושבה לוקחים הרבה יותר משמעותית!!!,Wiz Air charges much more for cargo and seats!!!
1828,user_review,travel-6705434.ugc,מספר המאומתים עולה לא אומר שמספר החולים עולה,If the number of confirmed cases increases it does not mean that the number of patients increases
1887,user_review,travel-6742632.ugc,"ואוו ,נשמע טוב","Wow, sounds good"
1890,user_review,travel-6742632.ugc,אל על חברת פח.,El Al is a trashy Company.
