target_index,sample_domain,sample_id,src,ref
978,news,jingji_guancha_bao-zh-01.22009,A：2月3日美国劳工部公布2023年1月非农就业数据，新增非农就业51.7万人，大幅高于市场预期的18.9万人；失业率降至3.4%，为近50年以来的最低位；时薪同比增速4.4%，环比增速0.3%，略有放缓。,"A: On February 3, the U.S. Department of Labor released January 2023 nonfarm payrolls data, adding 517,000 new nonfarm jobs, significantly higher than market expectations of 189,000; the unemployment rate fell to 3.4%, the lowest in nearly 50 years; hourly earnings grew at a slightly slower rate of 4.4% year-over-year and 0.3% year-over-year."
1068,news,rfi-chinese.19798,周六(2月 11日 )，法国工会再次发起反对政府退休金改革草案全国动员，呼吁民众走上街头，表达意见。,"On Saturday, February 11, the French labor unions launched another nationwide mobilization against the government's retirement pension reform draft, calling on the public to take to the streets and express their opinions."
1069,news,rfi-chinese.19798,这是这次反对政府退休金制度改革草案的社会风潮的第四个行动日。,This is the fourth day of action in the social movement against the government's retirement pension reform draft.
1088,news,rfi-chinese.19800,据自由时报署名报道称，中国鼓励大学生捐精。,"According to a report by Liberty Times, China is encouraging college students to donate sperm."
1100,news,rfi-chinese.19801,当时，由于东德各地的抗议者要求民主和自由，共产党领导人被迫下台。,"At that time, due to widespread protests demanding democracy and freedom across East Germany, Communist party leaders were forced to step down."
1149,news,rfi-chinese.19812,加强限制技术出口到中国,Increased restrictions on technology exports to China
1166,news,rfi-chinese.19813,"但是，地震造成的死亡人数攀升达 24,150 人。","However, the death toll from the earthquake has risen to 24,150 people."
1191,news,vietnam_plus-zh.14206,文莱大学是越南与文莱在教育培训合作中的象征之一。,Brunei University symbolizes the cooperation between Vietnam and Brunei in the field of education and training.
1237,news,voa-voachinese.30674,科比表示，这个物体与美国境内发现的那个间谍气球不同，它上面没有悬挂“有效载荷”。,"In contrast to the spy balloon discovered in the United States, the object, according to Bryant, did not have a ""payload"" suspended from it."
1260,user_review,apparel-3-zh_0075255-118,买衣服容易，退货也容易。,"Both clothing purchases, and returns are simple."
1262,user_review,apparel-3-zh_0075255-118,衣服做工不错，因为版型偏小，只得退货，但是退了货以后，至今一个多星期过去了，还没有收到退款？,"The garments are well-made, but I had to return them because the size was too small, more than a week has passed since I returned the items, but I still haven't received a reimbursement?"
1290,user_review,automotive-3-zh_0544945-98,换了以后好了。,"Once changed, everything will be fine."
1292,user_review,automotive-3-zh_0544945-98,不足就是没有卡，自己买的，还有就是以前在亚马逊买过手机。,The drawback is that there is no card; I paid for it out of pocket and previously purchased a phone from Amazon.
1296,user_review,automotive-4-zh_0900322-78,包装没有任何标识，直接给供货商致电说，回答没标识是正品，如怀疑可用边角料邮寄到强生公司验货，还留下车牌号以及电话号码，承诺会发短信通知把我的信息输入强生官网保修卡，到现在也没收到短信啊？,"Since there is no mark on the package, I called the supplier directly to ask about the matter and was told that the good is authentic despite the lack of a mark, If there is any dispute, I may submit it to Johnson & Johnson for review and include the phone number and license plate information, I swear to tell Johnson & Johnson of my information by text message, Why has a text message not yet been sent to the warranty card on the official website?"
1304,user_review,automotive-5-zh_0526086-87,性价比不错，二百以下很难找到合成机油。,"The price-to-performance ratio is favorable, and finding synthetic motor oil for under 200 is challenging."
1305,user_review,automotive-5-zh_0526086-87,支持星冠，支持胜牌，对车有效保护。,"Support the winning card, the star crown, and successfully defend the vehicle."
1310,user_review,baby_product-1-zh_0634793-239,中方客服：很抱歉，给你带来损失了，我们给你两条路走：,Customer service in Chinese: We apologize for your loss and offer two solutions:
1329,user_review,baby_product-3-zh_0705149-120,就一个压变形的箱子。,Just a box that is crumpled and distorted.
1360,user_review,beauty-4-zh_0171949-150,第二从27号下单，12号收到货，总共15天也就是半个月，亚马逊的送货员服务态度也很好。,"The second thing is placing an order on the 27th and receiving the items on the 12th, a total of 15 days, or half a month, the delivery team at Amazon also has a very good customer service attitude."
1451,user_review,digital_ebook_purchase-1-zh_0999275-194,1. 价格的问题其实并不是最重要的，关键是现在怎么将kindle上空白的书换成有实际内容的书，而不是永远下载下来都是“敬请期待”,"1. The price issue is not the most crucial one, the trick is to figure out how to swap out the empty books on Kindle with books that have actual substance rather than just downloading them indefinitely and saying ""stay tuned"""
1472,user_review,digital_ebook_purchase-3-zh_0263846-153,不知道是不是为了举例而编纂的故事，如果举一些作者亲历的案例会更有信服力。,"I'm not sure if it's fiction compiled for the sake of illustration, but it would be more believable if certain cases experienced by the author were provided."
1479,user_review,digital_ebook_purchase-4-zh_0116354-154,且成书时间较早，后来的支付宝微信借补贴大战培养用户习惯的内容还没提及，如今的第三方支付份额只怕已不是书中所说的占比这么小了吧。,"Because the book was written earlier, it does not include information about Alipay and WeChat's subsidy war to shape user habits, the third-party payment share in use today is most likely not as low as the book claimed."
1496,user_review,drugstore-1-zh_0633884-136,再度期望亚马逊能够一丝不苟，严把商品源头。,"Once more, I anticipate that Amazon will be very careful and cautious about the origin of the products."
1508,user_review,drugstore-3-zh_0360871-87,三颗星是怪自己马虎没看清楚商品规格，你卖M码电商版我没意见，你货不对版是几个意思？,"I only gave it three stars because I was careless and didn't carefully read the product details, I have no issue with you offering the M-size online version for sale, what does it signify that the edition of your product is incorrect?"
1522,user_review,electronics-2-zh_0978438-79,虽然名称都是一样的，但还是希望大家能够小心注意，另外还请亚马逊负责人及时更换正确的配图，万分感谢。,"Despite the fact that the names are the same, I still hope that everyone will pay attention, to add, I also request that the Amazon administrator quickly replaces the appropriate image, I appreciate you."
1545,user_review,grocery-3-zh_0192439-140,产品防伪标识在哪里,Where is the security seal for the product
1546,user_review,grocery-3-zh_0192439-140,瓶子底部一角凹陷的厉害，应该是经历过强烈的撞击才能导致的，从外包装袋看，感觉蹂躏的程度让人揪心，毕竟是食物类的包装太简单了，而且还是属于国际购的，还有没看到什么明显的防伪标识标志，开瓶非常轻松，关键是盖内的一层蜂蜜直接从里面冒出来了，有开口几乎是没有什么粘连性，外国产品都是这样的吗？,"The bottle's bottom corner is substantially dented, which should be the result of a powerful hit, from the outer packaging bag, it is alarming to see the extent of the damage, after all, despite the food's overly basic packaging, it is nevertheless sold abroad, have you noticed any blatant counterfeit prevention signs? The bottle is really simple to open, the crucial feature is that the honey layer in the top spills out right away, when there is an opening, adhesion is essentially nonexistent, are all imported goods the same?"
1556,user_review,home-1-zh_0279080-154,垃圾,Rubbish
1560,user_review,home-1-zh_0279080-154,如果我只是碰到一个这样的，我认了，买了几个都是这样子，找亚马逊客服，客服就说可以退，但运费垫付，然后运费以礼品卡的形式返回给我。,"I will recognize it and purchase a number of these if I only come across one like it, when I contacted Amazon customer service, they informed me that the shipping price may be reimbursed but that it would first need to be paid and would then be given to me in the form of a gift card."
1562,user_review,home-1-zh_0279080-154,而我一直跟客服说，出现这样的问题是谁的责任，客服却半句不说是他们的责任，连半句责任都不敢担当，这样的售后服务还有什么保障呢? 一句话:认栽!但我估计我这个评价，亚马逊都不会给公布的机会，直接回删除!,"I have been asking the customer support who is accountable for the issue, but they have refused to acknowledge any responsibility and will not even accept it for a single word, what kind of warranty is offered for this type of post-purchase support? Planted! However, I anticipate that Amazon won't allow me a chance to publish my evaluation, so I'll just erase it"
1567,user_review,home-2-zh_0373530-115,4，如果亚马逊没有标注预计到货时间是2月7号，我或许会很满意。,"4, I might be quite happy if Amazon didn't list February 7th as the estimated arrival date."
1628,user_review,kitchen-3-zh_0366563-167,立方体的造型，设计师把顶部处理成微微的弧面。,The top of the cube was designed as a slightly curved surface by the designer.
1640,user_review,kitchen-4-zh_0366960-104,壶的外面摸不到一丝热量，即不怕烫到人也能有效保护温度不外散。,"Even if you are not concerned about getting burned, there is no sign of heat on the outside of the pot, which successfully keeps the heat from escaping."
1660,user_review,luggage-3-zh_0932643-67,缺点：卡片上的二维码扫不到（搞什么鬼），15.6寸的笔记本放不下（再长一点点行不行），这款双肩包拉链可以锁起来，却不为买家准备一把锁，不可谓服务至上。,"Disadvantages: The QR code on the card cannot be scanned (what the hell), the 15.6-inch notebook cannot fit (it could be a little longer), the zipper of this backpack can be locked, but there is no lock for the customer, and it cannot be described as service-oriented."
1674,user_review,musical_instruments-3-zh_0382388-36,琴头有缺陷，少了一个角，感觉是残次品，也没有任何赠品，但是这个价位已经不错了，琴的音色也不错。,"The headstock is flawed, there is a missing corner, it feels like a flawed product, and there are no extras, but the price is reasonable and the piano sounds great."
1678,user_review,office_product-1-zh_0442334-116,第一次买的时候，东西有问题，所有的灯在闪烁，无法用。,"When I first purchased it, there was a problem, all of the lights were flickering, and it was inoperable."
1684,user_review,office_product-1-zh_0442334-116,后面又说什么中转问题。,"About the transit issue, I'll speak later."
1687,user_review,office_product-2-zh_0543012-62,标签粘性太差，不防水,Label adhesion is inadequate and not watertight
1693,user_review,office_product-4-zh_0292700-89,质量没的说，若论写字，不如925-25,"The caliber is subpar, It is inferior to 925-25, if the topic is writing"
1713,user_review,other-2-zh_0473305-177,8月14日刚入手德版的DN1080.一看外做工好差。,"On August 14, I only recently acquired the German version of DN1080. I observed shoddy workmanship."
1726,user_review,other-3-zh_0328063-185,在生产和服务、质量和品牌、效益和公益等方面保持卓越的追求。,"Always striving for excellence in production and service, brand and quality, benefit, and public welfare."
1742,user_review,other-5-zh_0055587-107,我惊愕了，音质竟然是环绕3D立体！,I was astounded to discover that the sound quality was surround 3D!
1765,user_review,pc-3-zh_0475867-158,强烈建议亚马逊停用EMS ！,It is highly advised that Amazon turn off EMS!
1767,user_review,pc-3-zh_0475867-158,不懂为什么亚马逊要寄EMS，业内公认的不靠谱，好嘛，电脑好歹也是贵重物品啊！,"Why Amazon wants to dispatch EMS is a mystery to me, its unreliability is acknowledged in the sector, computers are, in any case, valuable!"
1799,user_review,personal_care_appliances-4-zh_0788270-92,App有点难用，除了改一下颜色那些，其他貌似兼容的问题是海外版的原因？,"Except for changing the color, what other ostensibly compatible flaws making the application a little challenging to use are the causes of the international release?"
1802,user_review,personal_care_appliances-5-zh_0172161-51,已经使用了3-4次了。,I've used it 3-4 times.
1828,user_review,shoes-2-zh_0472892-115,其次，这个鞋子品控真的不敢恭维，一只鞋底胶有破损，另外一只鞋面有各种擦痕还有个针眼，鞋面与鞋底连接处胶条错位，明摆着的以次充好！,"Second, this shoe's quality control is actually not admirable, the rubber on one sole has been damaged, while the other sole's upper has numerous scratches and a pinhole, the rubber strip between the top and the sole is not where it should be!"
1839,user_review,shoes-4-zh_0756416-116,如果一定要买，换个鞋垫也能解决，但是原配鞋垫看起来很高级的样子，不用又可惜。,"You can change the insole if you have to buy it, but the original insole looks really high-end, so it's a shame not to use it."
1851,user_review,sports-1-zh_0749906-157,没有任何回复和回执以及检测报告！,"There is no response, acknowledgement or test report!"
1852,user_review,sports-1-zh_0749906-157,你好歹告诉一声，到底是好的还是坏的啊！,Tell me at least whether it's nice or awful!
1885,user_review,sports-5-zh_0041815-69,衣服的质量非常好。,The clothing is of excellent quality.
1893,user_review,toy-2-zh_0938167-72,螺栓孔大部分都没对齐，上螺栓很费劲，可见加工质量不好，也不知道可以玩多长时间，因為是给孩子许诺的东西，也就不退了。,"The majority of the bolt holes are out of alignment, making it difficult to put the bolts, the processing quality is poor, as can be observed, and I'm not sure how long it can be played, it will not be returned because the child was promised it in the first place."
1906,user_review,toy-5-zh_0723212-60,他玩得惊笑连连～以后大概会继续买这个牌子的玩具。,He laughed and marveled while he played ~  will probably keep purchasing toys from this manufacturer.
1914,user_review,watch-1-zh_0790553-133,生产烂货，出售烂货，结果烂货服务，买了六块手表送孩子的，其中的一快数字显示不完全，六块的时间都不一致，相差十几个小时不等。,"This was the outcome of the production of defective goods, sale of defective goods, and service of defective goods, six timepieces were purchased to be given to the children, but one of them showed partial numerals, and the time on all six watches varied by more than ten hours."
1919,user_review,watch-2-zh_0475429-74,收到货后检查发现：,"After receiving the products, investigation showed that:"
1928,user_review,watch-3-zh_0817840-69,万年历功能倒是蛮不错，计时功能有点鸡肋，基本用不到，偶尔会误触进入计时模式。,"While the timing function is a bit bland and hardly ever utilized, the perpetual calendar function is pretty wonderful, on occasion, it will unintentionally switch to timing mode."
1958,user_review,wireless-2-zh_0217285-170,综上所述，本产品还有诸多不足，希望大家买的时候要慎重。,"To summarize, this product still has numerous flaws, and I hope you would be cautious while purchasing it."
