local_pair,local_sentence_index_0based,external_direction,best_similarity,match_method,local_model,local_strategy,local_matched_text,external_matched_text,best_target_index,external_column,external_sample_domain,external_sample_id,external_src,external_ref
zh-en-new,7,zh-en,0.75,token_f1,C35,it,"Producing shoddy goods, selling shoddy goods, resulting in shoddy service. I bought six watches as gifts for children, one of which has incomplete digital display. The time on all six watches is inconsistent, with differences ranging from several to over ten hours.","Producing poor quality goods, selling poor quality goods, resulting in poor service. I bought six watches to give to my children, one of which has an incomplete digital display, and the time on all six watches is inconsistent, varying by several hours.",1914,GPT4-5shot,user_review,watch-1-zh_0790553-133,生产烂货，出售烂货，结果烂货服务，买了六块手表送孩子的，其中的一快数字显示不完全，六块的时间都不一致，相差十几个小时不等。,"This was the outcome of the production of defective goods, sale of defective goods, and service of defective goods, six timepieces were purchased to be given to the children, but one of them showed partial numerals, and the time on all six watches varied by more than ten hours."
zh-en-new,8,zh-en,0.7755,token_f1,G35,tear,"And I have been telling customer service all along, whose responsibility is it when such problems occur, but customer service does not admit it is their responsibility at all, not even half a word of responsibility, what guarantee is there for such after-sales service? One sentence: admit it! But I guess my evaluation, Amazon will not give the opportunity to publish, just delete it directly!","And I have been telling the customer service that who is responsible for such a problem, but the customer service does not say a word is their responsibility, and dare not even take responsibility for a half sentence. What kind of guarantee is there for such after-sales service? Planted! But I guess my evaluation, Amazon will not give a chance to publish it, so I will delete it directly!",1562,Yishu,user_review,home-1-zh_0279080-154,而我一直跟客服说，出现这样的问题是谁的责任，客服却半句不说是他们的责任，连半句责任都不敢担当，这样的售后服务还有什么保障呢? 一句话:认栽!但我估计我这个评价，亚马逊都不会给公布的机会，直接回删除!,"I have been asking the customer support who is accountable for the issue, but they have refused to acknowledge any responsibility and will not even accept it for a single word, what kind of warranty is offered for this type of post-purchase support? Planted! However, I anticipate that Amazon won't allow me a chance to publish my evaluation, so I'll just erase it"
zh-en-new,9,zh-en,0.386,token_f1,G4o,tear,"The reason for giving 3 stars is that it was bought with the first love of my life. Now, I don't know how much it's been used; maybe it's been thrown away!","I don't know if the story was compiled for the sake of examples, but it would have been more convincing to cite some of the author's own cases.",1472,ONLINE-W,user_review,digital_ebook_purchase-3-zh_0263846-153,不知道是不是为了举例而编纂的故事，如果举一些作者亲历的案例会更有信服力。,"I'm not sure if it's fiction compiled for the sake of illustration, but it would be more believable if certain cases experienced by the author were provided."
zh-en-new,10,zh-en,0.3273,token_f1,GP,tear,"The union is planning to take action again next Thursday, the 16th. They also plan to organize a demonstration when the pension reform bill is submitted to the Senate for discussion on March 7th.  ","On Saturday (February 11), French unions once again launched a nationwide mobilization against the government's pension reform bill, calling on the public to take to the streets to express their opinions.",1068,GPT4-5shot,news,rfi-chinese.19798,周六(2月 11日 )，法国工会再次发起反对政府退休金改革草案全国动员，呼吁民众走上街头，表达意见。,"On Saturday, February 11, the French labor unions launched another nationwide mobilization against the government's retirement pension reform draft, calling on the public to take to the streets and express their opinions."
zh-en-new,11,zh-en,0.2222,token_f1,C35,tear,The impact of COVID-19 on the drug market,"There is no trace of heat on the outside of the pot, that is, it can effectively protect the temperature from being scalded.",1640,ZengHuiMT,user_review,kitchen-4-zh_0366960-104,壶的外面摸不到一丝热量，即不怕烫到人也能有效保护温度不外散。,"Even if you are not concerned about getting burned, there is no sign of heat on the outside of the pot, which successfully keeps the heat from escaping."
zh-en-new,12,zh-en,0.1667,token_f1,G35,it,"Client: Xiaomi Communication Technology Co., Ltd.",Restrictions on technology exports to China,1149,NLLB_Greedy,news,rfi-chinese.19812,加强限制技术出口到中国,Increased restrictions on technology exports to China
zh-en-new,13,zh-en,0.3636,token_f1,C3,tear,I can only ask the seller to ship the order as soon as possible.,"Although the names are the same, I still hope everyone can be careful. In addition, I would like to ask the person in charge at Amazon to replace the correct illustration as soon as possible. Thank you very much.",1522,Lan-BridgeMT,user_review,electronics-2-zh_0978438-79,虽然名称都是一样的，但还是希望大家能够小心注意，另外还请亚马逊负责人及时更换正确的配图，万分感谢。,"Despite the fact that the names are the same, I still hope that everyone will pay attention, to add, I also request that the Amazon administrator quickly replaces the appropriate image, I appreciate you."
zh-en-new,14,zh-en,0.25,token_f1,G35,it,Product introduction,Where is the product security mark,1545,IOL_Research,user_review,grocery-3-zh_0192439-140,产品防伪标识在哪里,Where is the security seal for the product
zh-en-new,15,zh-en,0.9444,token_f1,G35,it,"Xi Jinping said in his reply that you have overcome the difficulties in work and life in Central Africa, served the local people wholeheartedly, and are not only white angels who save lives, but also friendly messengers of friendship.","In his reply, Xi Jinping said that you have overcome difficulties in work and life in Central Africa and served the local people wholeheartedly. You are not only angels in white who save lives and help the wounded, but also friendly messengers who convey friendship.",903,ZengHuiMT,news,hunan_ribao-zh.11306,习近平在回信中说，你们在中非克服工作生活上的困难，用心服务当地民众，既是救死扶伤的白衣天使，也是传递情谊的友好使者。,"In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly."
en-zh-new,15,zh-en,0.9444,token_f1,G35,it,"Xi Jinping said in his reply that you have overcome the difficulties in work and life in Central Africa, served the local people wholeheartedly, and are not only white angels who save lives, but also friendly messengers of friendship.","In his reply, Xi Jinping said that you have overcome difficulties in work and life in Central Africa and served the local people wholeheartedly. You are not only angels in white who save lives and help the wounded, but also friendly messengers who convey friendship.",903,ZengHuiMT,news,hunan_ribao-zh.11306,"In his reply letter, Xi Jinping said that you overcame difficulties in work and life in Central Africa and served the local people wholeheartedly.",习近平在回信中说，你们在中非克服工作生活上的困难，用心服务当地民众，既是救死扶伤的白衣天使，也是传递情谊的友好使者。
zh-en-new,16,zh-en,0.3333,token_f1,G35,it,"According to Wind, Zheng Yonggang is still the chairman and actual controller of Shanshan Group.","Once again, Amazon is expected to be meticulous and strict with the source of goods.",1496,ONLINE-A,user_review,drugstore-1-zh_0633884-136,再度期望亚马逊能够一丝不苟，严把商品源头。,"Once more, I anticipate that Amazon will be very careful and cautious about the origin of the products."
zh-en-new,17,zh-en,0.4286,token_f1,GP,it,"What is the ""object"" shot down over Alaska?",What Is The National Debt Limit,1545,ANVITA,user_review,grocery-3-zh_0192439-140,产品防伪标识在哪里,Where is the security seal for the product
zh-en-new,18,zh-en,0.3188,token_f1,C3,tear,"The watch is very accurate, with the error completely within an acceptable range. The packaging of the watch includes a jewelry appraisal certificate. The 12 o'clock position on the dial features real diamonds. It's very suitable to wear yourself, and it also makes an impressive gift.","The second is to place an order on the 27th and receive the goods on the 12th, a total of 15 days, which is half a month. The service attitude of Amazon's delivery staff is also very good.",1360,Yishu,user_review,beauty-4-zh_0171949-150,第二从27号下单，12号收到货，总共15天也就是半个月，亚马逊的送货员服务态度也很好。,"The second thing is placing an order on the 27th and receiving the items on the 12th, a total of 15 days, or half a month, the delivery team at Amazon also has a very good customer service attitude."
zh-en-new,19,zh-en,0.2857,token_f1,G35,tear,02 Charging and turning on the machine,"At the closing ceremony, 10 representatives of the workshop spoke and reported on the learning and harvest.",918,ONLINE-M,news,hunan_ribao-zh.11308,结业式上，研讨班10名代表发言，汇报交流了学习收获。,"At  the closing ceremony, 10 representatives from the seminar delivered speeches, sharing their learning achievements and experiences."
zh-en-new,20,zh-en,0.2424,token_f1,GP,it,Your case: Source: Input parameters: 5V Two 100mA  Target: Do not provide any explanations or text apart from the translation. ,"The outside of the pot does not feel any heat, so it is not necessary to heat the pot to prevent it from spreading.",1640,ANVITA,user_review,kitchen-4-zh_0366960-104,壶的外面摸不到一丝热量，即不怕烫到人也能有效保护温度不外散。,"Even if you are not concerned about getting burned, there is no sign of heat on the outside of the pot, which successfully keeps the heat from escaping."
zh-en-new,21,zh-en,0.3448,token_f1,G35,tear,He was criticized for attempting to reshape the secret police rather than abolish it.,"The price is very good, it is difficult to find synthetic oil for less than $200.",1304,NLLB_MBR_BLEU,user_review,automotive-5-zh_0526086-87,性价比不错，二百以下很难找到合成机油。,"The price-to-performance ratio is favorable, and finding synthetic motor oil for under 200 is challenging."
zh-en-new,22,zh-en,1.0,exact,C3,it,"Maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare.","Maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare.",1726,ONLINE-A,user_review,other-3-zh_0328063-185,在生产和服务、质量和品牌、效益和公益等方面保持卓越的追求。,"Always striving for excellence in production and service, brand and quality, benefit, and public welfare."
en-zh-new,22,zh-en,1.0,exact,C3,it,"Maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare.","Maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare.",1726,ONLINE-A,user_review,other-3-zh_0328063-185,"Always striving for excellence in production and service, brand and quality, benefit, and public welfare.",在生产和服务、质量和品牌、效益和公益等方面保持卓越的追求。
zh-en-new,23,zh-en,0.2791,token_f1,G35,it,"Your case: Source: China's economic development potential continues to be unleashed, bringing more benefits to countries around the world and becoming an important engine for global recovery.","Once again, there is an expectation for Amazon to be meticulous and strictly control the source of its products.",1496,GPT4-5shot,user_review,drugstore-1-zh_0633884-136,再度期望亚马逊能够一丝不苟，严把商品源头。,"Once more, I anticipate that Amazon will be very careful and cautious about the origin of the products."
zh-en-new,24,zh-en,0.9195,token_f1,G4o,tear,"It is proposed that by the end of 2023, a high-speed, large-capacity, low-latency super broadband network will be built to achieve the network construction goals of ""dual gigabit, all-optical network, 1 millisecond, and Internet of Things,"" to create the nation's first and a world-leading ultra-fast pioneer city.","It is proposed that by the end of 2023, a high-speed, large-capacity, low-latency super broadband network will be built, and the ""dual gigabit, all-optical network, 1 millisecond, and Internet of Everything"" network construction goals will be achieved, and the world's first and world-leading ultra-fast pioneer city will be built.",668,ONLINE-A,news,chinanews.com.280872,其中提出，2023年底前，建成高速率、大容量、低时延的超级宽带网络，实现“双千兆、全光网、1毫秒、万物联”网络建设目标，打造国内第一、世界领先的极速先锋城市。,"To attain the objective of ""double gigabit, all-optical arrange, 1 millisecond, and the Web of Everything"" arrange development, it is recommended that by the conclusion of 2023, a high-speed, large-capacity, and low-latency ultra-broadband organize will be built, this will make the primary in China and the driving Speed pioneer city."
zh-en-new,25,zh-en,0.9474,token_f1,G4o,it,Your case: The label's adhesive is too weak and not waterproof.,The label adhesive is too weak and not waterproof.,1687,GPT4-5shot,user_review,office_product-2-zh_0543012-62,标签粘性太差，不防水,Label adhesion is inadequate and not watertight
en-zh-new,25,zh-en,0.9474,token_f1,G4o,it,Your case: The label's adhesive is too weak and not waterproof.,The label adhesive is too weak and not waterproof.,1687,GPT4-5shot,user_review,office_product-2-zh_0543012-62,Label adhesion is inadequate and not watertight,标签粘性太差，不防水
zh-en-new,26,zh-en,0.4286,token_f1,G4o,it,"Table E.1: The Glyphs and Code Positions of Characters in the ""General Standard Chinese Characters Table""","Deleted the appendix ""Additional Chinese Characters and Radicals/Components"" in Appendix 〇 of the 2005 version.",5,ONLINE-W,manuals,gb-1,删除了附录 ”追加的汉字及部首/部件 “ 见 2005 年版的附录 〇 ，,"Appendix with more Chinese characters and radicals/parts removed from 2005 edition,"
zh-en-new,27,zh-en,0.2857,token_f1,G4o,tear,The tsunami reached the distant shores of Japan and the Philippines.,"Again, expect Amazon to be meticulous and strict to the source of goods.",1496,ONLINE-M,user_review,drugstore-1-zh_0633884-136,再度期望亚马逊能够一丝不苟，严把商品源头。,"Once more, I anticipate that Amazon will be very careful and cautious about the origin of the products."
zh-en-new,28,zh-en,0.25,token_f1,G4o,tear,"Market insiders explained that the ""price protection agreement"" had also appeared in Nanjing in 2008.","After receiving the goods, the inspection found that they had been found.",1919,ZengHuiMT,user_review,watch-2-zh_0475429-74,收到货后检查发现：,"After receiving the products, investigation showed that:"
zh-en-new,29,zh-en,0.4,token_f1,C3,tear,Sony is the best!,The quality of the clothes is excellent.,1885,ONLINE-Y,user_review,sports-5-zh_0041815-69,衣服的质量非常好。,The clothing is of excellent quality.
zh-en-new,30,zh-en,0.359,token_f1,C3,it,"The product image on Amazon shows a slash, but the one I received has a horizontal line. Isn't this deceptive?","The downside is that I don't have a card; I bought one myself, and I've bought a cell phone on Amazon before.",1292,ONLINE-Y,user_review,automotive-3-zh_0544945-98,不足就是没有卡，自己买的，还有就是以前在亚马逊买过手机。,The drawback is that there is no card; I paid for it out of pocket and previously purchased a phone from Amazon.
zh-en-new,31,zh-en,0.2712,token_f1,C35,it,"By the end of 2023, the total number of upgraded and connected APs should be no less than 20,000.","It is proposed that by the end of 2023, a high-speed, high-capacity, low-latency super-broadband network will be built to achieve the goal of ""dual gigabit, all-optical network, 1 millisecond, everything connected"" network construction, to create the first domestic and world-leading high-speed pioneer city.",668,IOL_Research,news,chinanews.com.280872,其中提出，2023年底前，建成高速率、大容量、低时延的超级宽带网络，实现“双千兆、全光网、1毫秒、万物联”网络建设目标，打造国内第一、世界领先的极速先锋城市。,"To attain the objective of ""double gigabit, all-optical arrange, 1 millisecond, and the Web of Everything"" arrange development, it is recommended that by the conclusion of 2023, a high-speed, large-capacity, and low-latency ultra-broadband organize will be built, this will make the primary in China and the driving Speed pioneer city."
zh-en-new,32,zh-en,0.3889,token_f1,C35,it,The Pentagon also believes that there are currently no indications that this object is maneuverable.,"Kobe said that this object is different from the spy balloon found in the United States, and there is no “payload” hanging on it.",1237,ONLINE-G,news,voa-voachinese.30674,科比表示，这个物体与美国境内发现的那个间谍气球不同，它上面没有悬挂“有效载荷”。,"In contrast to the spy balloon discovered in the United States, the object, according to Bryant, did not have a ""payload"" suspended from it."
zh-en-new,33,zh-en,0.2979,token_f1,C3,it,"According to data from the China Earthquake Administration, this earthquake had a surface wave magnitude of 8.2, a moment magnitude of 8.3, and the area of destruction exceeded 100,000 square kilometers.",He had a lot of fun and was amazed; he will probably continue to buy toys of this brand in the future.,1906,ONLINE-Y,user_review,toy-5-zh_0723212-60,他玩得惊笑连连～以后大概会继续买这个牌子的玩具。,He laughed and marveled while he played ~  will probably keep purchasing toys from this manufacturer.
zh-en-new,34,zh-en,0.9383,token_f1,GP,it,"If I only encountered one like this, I would accept it. I bought several, and they were all like this. I contacted Amazon customer service, and they said I could return it, but I had to pay for the shipping first. Then, the shipping cost would be returned to me in the form of a gift card.","If I just encountered one like this, I would accept it, but I bought several like this, contacted Amazon customer service, and they said I could return it, but I had to pay for the shipping, and then the shipping cost would be returned to me in the form of a gift card.",1560,Lan-BridgeMT,user_review,home-1-zh_0279080-154,如果我只是碰到一个这样的，我认了，买了几个都是这样子，找亚马逊客服，客服就说可以退，但运费垫付，然后运费以礼品卡的形式返回给我。,"I will recognize it and purchase a number of these if I only come across one like it, when I contacted Amazon customer service, they informed me that the shipping price may be reimbursed but that it would first need to be paid and would then be given to me in the form of a gift card."
en-zh-new,34,zh-en,0.9383,token_f1,GP,it,"If I only encountered one like this, I would accept it. I bought several, and they were all like this. I contacted Amazon customer service, and they said I could return it, but I had to pay for the shipping first. Then, the shipping cost would be returned to me in the form of a gift card.","If I just encountered one like this, I would accept it, but I bought several like this, contacted Amazon customer service, and they said I could return it, but I had to pay for the shipping, and then the shipping cost would be returned to me in the form of a gift card.",1560,Lan-BridgeMT,user_review,home-1-zh_0279080-154,"I will recognize it and purchase a number of these if I only come across one like it, when I contacted Amazon customer service, they informed me that the shipping price may be reimbursed but that it would first need to be paid and would then be given to me in the form of a gift card.",如果我只是碰到一个这样的，我认了，买了几个都是这样子，找亚马逊客服，客服就说可以退，但运费垫付，然后运费以礼品卡的形式返回给我。
zh-en-new,35,zh-en,1.0,exact,G35,it,Your case: Source: Personal pension financial products are finally online.,Personal pension financial products are finally online.,523,IOL_Research,news,chinanews.com.280781,个人养老金理财产品终于上线了。,Items for overseeing individual benefits riches have at long last been presented.
en-zh-new,35,zh-en,1.0,exact,G35,it,Your case: Source: Personal pension financial products are finally online.,Personal pension financial products are finally online.,523,IOL_Research,news,chinanews.com.280781,Items for overseeing individual benefits riches have at long last been presented.,个人养老金理财产品终于上线了。
zh-en-new,36,zh-en,0.3478,token_f1,G35,it,Do not brush part of the characters in the order.,"Deleted the appendix ""Additional Chinese Characters and Radicals/Components"" in Appendix 〇 of the 2005 version.",5,synthetic_ref,manuals,gb-1,删除了附录 ”追加的汉字及部首/部件 “ 见 2005 年版的附录 〇 ，,"Appendix with more Chinese characters and radicals/parts removed from 2005 edition,"
zh-en-new,37,zh-en,1.0,token_f1,G35,it,"After changing, it got better.",It got better after changing it.,1290,GPT4-5shot,user_review,automotive-3-zh_0544945-98,换了以后好了。,"Once changed, everything will be fine."
en-zh-new,37,zh-en,1.0,token_f1,G35,it,"After changing, it got better.",It got better after changing it.,1290,GPT4-5shot,user_review,automotive-3-zh_0544945-98,"Once changed, everything will be fine.",换了以后好了。
zh-en-new,38,zh-en,0.3457,token_f1,G4o,tear,"When I received the package and saw it was labeled as the e-commerce version, I knew I had fallen into the trap again. It's much smaller than what I bought at the supermarket. It should have been an M, but it isn't, and the packaging is different from the product description pictures, which is supposedly the new version.",The three stars are because I was sloppy and didn't read the product specifications clearly. I have no problem with you selling the M-size e-commerce version. What does it mean that your product is not the right version?,1508,HW-TSC,user_review,drugstore-3-zh_0360871-87,三颗星是怪自己马虎没看清楚商品规格，你卖M码电商版我没意见，你货不对版是几个意思？,"I only gave it three stars because I was careless and didn't carefully read the product details, I have no issue with you offering the M-size online version for sale, what does it signify that the edition of your product is incorrect?"
zh-en-new,39,zh-en,0.3,token_f1,G35,tear,But different from the other headband styles.,"The clock is very fast, but the clock is not always fast enough to keep the clock from ticking.",1928,ANVITA,user_review,watch-3-zh_0817840-69,万年历功能倒是蛮不错，计时功能有点鸡肋，基本用不到，偶尔会误触进入计时模式。,"While the timing function is a bit bland and hardly ever utilized, the perpetual calendar function is pretty wonderful, on occasion, it will unintentionally switch to timing mode."
zh-en-new,40,zh-en,0.32,token_f1,C35,it,"Though worn upwards, it cannot shield from the sun.","The outside of the coating cannot be heated, so it can effectively protect the surface from the heat, regardless of the heat.",1640,NLLB_MBR_BLEU,user_review,kitchen-4-zh_0366960-104,壶的外面摸不到一丝热量，即不怕烫到人也能有效保护温度不外散。,"Even if you are not concerned about getting burned, there is no sign of heat on the outside of the pot, which successfully keeps the heat from escaping."
zh-en-new,41,zh-en,0.4615,token_f1,GP,tear,When will the money be refunded?,It will be fine after the replacement.,1290,ONLINE-Y,user_review,automotive-3-zh_0544945-98,换了以后好了。,"Once changed, everything will be fine."
zh-en-new,42,zh-en,0.303,token_f1,GP,tear,"## Final English Translation:  The year 2017 witnessed a significant increase in the global interception of tramadol, reaching a peak of over 125 tons.  ","A number of data recession, Taiwan's economy performed poorly in the beginning of the year - Chinanews.com",595,synthetic_ref,news,chinanews.com.280802,多项数据衰退 台湾经济开年表现不佳-中新网,"Agreeing to a number of information focuses, Taiwan's economy did ineffectively within the begin of the year"
zh-en-new,43,zh-en,0.9362,token_f1,C3,it,"The app is a bit difficult to use. Apart from changing colors and such, are the other compatibility issues due to it being the overseas version?","The app is a bit difficult to use, apart from changing the colors and such, it seems that other compatibility issues are due to the overseas version?",1799,GPT4-5shot,user_review,personal_care_appliances-4-zh_0788270-92,App有点难用，除了改一下颜色那些，其他貌似兼容的问题是海外版的原因？,"Except for changing the color, what other ostensibly compatible flaws making the application a little challenging to use are the causes of the international release?"
en-zh-new,43,zh-en,0.9362,token_f1,C3,it,"The app is a bit difficult to use. Apart from changing colors and such, are the other compatibility issues due to it being the overseas version?","The app is a bit difficult to use, apart from changing the colors and such, it seems that other compatibility issues are due to the overseas version?",1799,GPT4-5shot,user_review,personal_care_appliances-4-zh_0788270-92,"Except for changing the color, what other ostensibly compatible flaws making the application a little challenging to use are the causes of the international release?",App有点难用，除了改一下颜色那些，其他貌似兼容的问题是海外版的原因？
zh-en-new,44,zh-en,0.2667,token_f1,C35,tear,"We must coordinate the two major tasks of development and security, implement the overall national security concept, improve the national security system, enhance the ability to safeguard national security, and firmly maintain the security of national political power, institutional security, ideological security, and security in key areas.","To maintain the pursuit of excellence in production and service, quality and brand, efficiency and public welfare.",1726,IOL_Research,user_review,other-3-zh_0328063-185,在生产和服务、质量和品牌、效益和公益等方面保持卓越的追求。,"Always striving for excellence in production and service, brand and quality, benefit, and public welfare."
zh-en-new,45,zh-en,1.0,exact,G35,it,Strengthen restrictions on technology exports to China.,Strengthen restrictions on technology exports to China.,1149,GPT4-5shot,news,rfi-chinese.19812,加强限制技术出口到中国,Increased restrictions on technology exports to China
en-zh-new,45,zh-en,1.0,exact,G35,it,Strengthen restrictions on technology exports to China.,Strengthen restrictions on technology exports to China.,1149,GPT4-5shot,news,rfi-chinese.19812,Increased restrictions on technology exports to China,加强限制技术出口到中国
zh-en-new,46,zh-en,0.9206,token_f1,G35,tear,"Although the names are the same, I still hope everyone can be careful and pay attention. Also, please ask the person in charge of Amazon to replace the correct picture promptly. Thank you very much.","Although the names are the same, I still hope that everyone can pay careful attention, and also ask the person in charge of Amazon to replace the correct picture in time, thank you very much.",1522,ONLINE-A,user_review,electronics-2-zh_0978438-79,虽然名称都是一样的，但还是希望大家能够小心注意，另外还请亚马逊负责人及时更换正确的配图，万分感谢。,"Despite the fact that the names are the same, I still hope that everyone will pay attention, to add, I also request that the Amazon administrator quickly replaces the appropriate image, I appreciate you."
en-zh-new,46,zh-en,0.9206,token_f1,G35,tear,"Although the names are the same, I still hope everyone can be careful and pay attention. Also, please ask the person in charge of Amazon to replace the correct picture promptly. Thank you very much.","Although the names are the same, I still hope that everyone can pay careful attention, and also ask the person in charge of Amazon to replace the correct picture in time, thank you very much.",1522,ONLINE-A,user_review,electronics-2-zh_0978438-79,"Despite the fact that the names are the same, I still hope that everyone will pay attention, to add, I also request that the Amazon administrator quickly replaces the appropriate image, I appreciate you.",虽然名称都是一样的，但还是希望大家能够小心注意，另外还请亚马逊负责人及时更换正确的配图，万分感谢。
zh-en-new,47,zh-en,1.0,token_f1,C35,tear,"After receiving the goods, inspection revealed:","After receiving the goods, the inspection revealed:",1919,ONLINE-Y,user_review,watch-2-zh_0475429-74,收到货后检查发现：,"After receiving the products, investigation showed that:"
en-zh-new,47,zh-en,1.0,token_f1,C35,tear,"After receiving the goods, inspection revealed:","After receiving the goods, the inspection revealed:",1919,ONLINE-Y,user_review,watch-2-zh_0475429-74,"After receiving the products, investigation showed that:",收到货后检查发现：
zh-en-new,48,zh-en,0.2979,token_f1,C35,it,"Li Yunjie, Director of the Medical Price and Bidding Procurement Division of Zhengzhou Medical Security Bureau: The main beneficiaries are four parties. First, medical insurance, as its expenditure is reduced. Second, hospitals have less inventory pressure and may see a slight increase in patients. Third, suppliers gain access to a market. Fourth, patients benefit the most, as the cost of a single dental implant may be reduced by half or even more.","As of February 10, the cost of a single conventional dental implant medical treatment in Henan Province is regulated to be priced at 4,300 yuan for the full process, and it is prohibited from exceeding 97% of the regulatory objective.",660,refA,news,chinanews.com.280870,从2月10日起，河南省单颗常规种植牙医疗服务价格全流程调控目标为4300元，单颗常规种植全流程费用不高于调控目标的97%。,"As of February 10, the cost of a single conventional dental implant medical treatment in Henan Province is regulated to be priced at 4,300 yuan for the full process, and it is prohibited from exceeding 97% of the regulatory objective."
zh-en-new,49,zh-en,0.3636,token_f1,C35,tear,"When I checked the order status again on Monday, I was speechless to find out that it had already been shipped.",I was shocked that the sound quality turned out to be surround 3D!,1742,ONLINE-A,user_review,other-5-zh_0055587-107,我惊愕了，音质竟然是环绕3D立体！,I was astounded to discover that the sound quality was surround 3D!
