pair,strategy,sentence_index_0based,has_public_source_reference,alignment_similarity,sample_id,source_text,reference_translation,meprs_model,meprs_model_name,bleurt_best_model,bleurt_best_model_name,best_single_model_for_condition,best_single_model_name,meprs_bleurt,bleurt_best_score,gap_to_bleurt_best,gap_to_best_single_model_at_sentence,meprs_reviewer_sum,bleurt_best_reviewer_sum,meprs_translation,bleurt_best_translation,reviewer_note_zh
en-ru,it,26,True,1.0,ecommerce_en_49,Exposure and focus have to be adjusted manually.,Экспозицию и фокус необходимо настраивать вручную.,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,73.8656759262085,97.70897030830383,23.843294382095337,18.424564599990845,0.0,0.0,Ваш случай: Источник: Экспозиция и фокус должны быть настроены вручную.,Экспозицию и фокус необходимо настраивать вручную.,
zh-en,it,146,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,50.05325675010681,71.05798125267029,21.004724502563477,21.004724502563477,0.0,0.0,"Your case: Source: The largest declines were in plastic and rubber products and optical equipment, with year-on-year decreases of 37.6% and 35.7% respectively.","Plastic, rubber and their products, as well as optical equipment, saw the deepest declines, with annual decreases of 37.6% and 35.7% respectively.",
en-he,it,117,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,67.84477233886719,88.4162962436676,20.571523904800415,20.571523904800415,0.0,0.0,המקרה שלך: המקור: המצב השני הוא סכסוך מורכב בין שתי מדינות.,המצב השני הוא חיכוך מורכב בין שתי מדינות.,
he-en,tear,25,True,0.9268,internal-11928232.news,הטרור העממי מתמקד בפגיעה באזרחים ומטרתו לערער את תחושת הביטחון הדרושה לניהול חיים תקינים של אוכלוסייה אזרחית.,Popular terrorism focuses on harming civilians and aims to undermine the sense of security vital to leading a normal life of a civilian population.,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,69.59644556045532,89.70164060592651,20.10519504547119,11.035996675491333,0.0,0.0,"Civilian terrorism focuses on targeting civilians, aiming to challenge the necessary sense of security required for the proper management of the lives of a civilian population.",Popular terrorism focuses on harming civilians and aims to undermine the sense of security necessary for maintaining normal lives of the civilian population.,
he-en,it,31,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,G4o,GPT-4o,52.031320333480835,72.10147976875305,20.070159435272217,13.118427991867065,0.0,0.0,"For the sake of leading an almost faultless path, which caused one after the other all the superhuman characters that the program took care to inflate their ego throughout the year.","A nearly impassable route led there, which knocked down one after another all the superhuman characters whose egos the program had taken care to inflate throughout the year.",
en-de,tear,164,True,1.0,hupfen.110347875196018000,...And that's how I found myself having to sort out a raid group roster.,"… Und so kam es, dass ich eine Raid-Gruppenliste ausarbeiten musste.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,53.05778384208679,71.14999890327454,18.092215061187744,-14.386415481567383,0.0,0.0,"Und so fand ich mich wieder dabei, eine Raid-Gruppenliste sortieren zu müssen.","...Und so kam es, dass ich plötzlich einen Schlachtzugsgruppen-Kader zusammenstellen musste.",
en-de,it,42,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,62.314897775650024,80.39663434028625,18.08173656463623,18.08173656463623,0.0,0.0,"Dein Fall: Quelle: Aber nach ~Jahrzehnten~ des Lesens von fast nichts (mit Ausnahme von funktionaler berufsbezogener Sachliteratur und gelegentlich einem Selbsthilfebuch) habe ich mir zum Ziel gesetzt, im Jahr 2023 23 Bücher zu lesen.","Aber nach Jahrzehnten, in denen ich fast nichts gelesen habe (mit Ausnahme von funktionaler arbeitsbezogener Sachliteratur und gelegentlichen Selbsthilfebüchern), habe ich mir das Ziel gesetzt, im Jahr 2023 23 Bücher zu lesen.",
en-he,it,189,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C35,Claude-3.5-Sonnet,72.09959626197815,89.6848738193512,17.585277557373047,17.193132638931274,0.0,0.0,המקרה שלך: אתה יכול לעלות למטוס עם תיק יד או עגלה ששוקל עד 7 קילוגרם ומזוודה נוספת ששוקלת עד 23 קילוגרם.,המקרה שלך: חברת אתיחאד איירווייז מאפשרת לך לעלות למטוס עם תיק יד או טרולי במשקל של עד 7 קילוגרם ומזוודה נוספת במשקל של עד 23 קילוגרם.,
en-he,it,164,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,67.32649803161621,83.38930606842041,16.0628080368042,15.01285433769226,0.0,0.0,"המקרה שלך: נלחמים שהילחמו בקרב בג'נין העידו כי הם לא זוכרים כזו תיחום של יריות ואלימות - ברור שלא רק יש כמות עצומה של נשק באזור ההוא, אלא גם אנשים מוכנים להשתמש בו.","לוחמים שלחמו בקרב בג'נין העידו כי אינם זוכרים היקף כזה של ירי ואלימות - מסתבר שלא רק שיש כמות עצומה של נשק באזור הזה, אלא שאנשים גם מוכנים להשתמש בו.",
en-he,it,52,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,71.67178988456726,85.69911122322083,14.027321338653564,14.027321338653564,0.0,0.0,"המקרה שלך:  מקור: כפי שפורסם ב""ישראל היום"", משוער שביידן יכריז על הענקת רשות לאל על ולכל חברות התעופה הישראליות לטוס מעל ערב הסעודית ליעדים אחרים מלבד איחוד האמירויות.","כפי שפרסמנו ב""ישראל היום"", מעריכים כי ביידן יכריז על מתן אישור לאל על ולכל חברות התעופה הישראליות לטוס מעל ערב הסעודית ליעדים נוספים מלבד איחוד האמירויות.",
en-de,tear,64,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,65.5349850654602,79.09178733825684,13.55680227279663,13.55680227279663,0.0,0.0,"Ich muss eine zufällige Adresse per E-Mail senden, mit nicht formatierten Daten, damit der Mitarbeiter die E-Mail lesen und sie in ihr System eingeben kann, um ein Etikett auszudrucken.","Ich muss an eine beliebige Adresse eine E-Mail schreiben, mit unformatierten Daten, damit der Sachbearbeiter die E-Mail lesen und die Daten in sein System eingeben kann, um ein Etikett zu drucken.",
en-he,tear,197,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,G4o,GPT-4o,74.63615536689758,88.11922669410706,13.483071327209473,8.243370056152344,0.0,0.0,עוד הערה על אנגלמן מתייחסת לשלב הראשוני של ההערכה של הטכנולוגיות שהוגשו לסל התרופות.,ביקורת נוספת על אנגלמן נוגעת להליך המקדמי של הערכת הטכנולוגיות המוגשות לסל התרופות.,
en-ru,it,48,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,57.18271732330322,70.45721411705017,13.274496793746948,13.274496793746948,0.0,0.0,"Ваше дело: Мужчины, которые все заявили о своей невиновности, обвиняются в том, что они утопили статую ""без законного основания.""","Мужчины, которые заявили о своей невиновности, обвиняются в потоплении статуи ""без законных оснований"".",
zh-en,it,5,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C35,Claude-3.5-Sonnet,59.46239233016968,72.08870649337769,12.626314163208008,11.851215362548828,0.0,0.0,"Your case: Source: Gao Yaxuan, the person in charge of operations for popular authors in Douyin e-commerce, introduced that in the past year, 6.27 million creators have monetized their content through Douyin e-commerce, with their content creation volume increasing by 252% and total transaction volume more than doubling.","Gao Yaxuan, head of operations for star creators on Douyin E-commerce, introduced that in the past year, 6.27 million creators monetized their content through Douyin E-commerce, with their content creation volume increasing by 252% and total transaction volume more than doubling.",
en-zh,it,94,True,0.9818,rfi-chinese.19798,"On Saturday, February 11, the French labor unions launched another nationwide mobilization against the government's retirement pension reform draft, calling on the public to take to the streets and express their opinions.",周六(2月 11日 )，法国工会再次发起反对政府退休金改革草案全国动员，呼吁民众走上街头，表达意见。,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,70.15128135681152,82.49884247779846,12.347561120986938,9.120529890060425,0.0,0.0,你的案例： 来源：2月11日星期六，法国工会再次发起全国范围内的抗议活动，反对政府的退休金改革草案，并呼吁公众走上街头表达他们的意见。,星期六，2 月 11 日，法国工会再次发动全国动员，反对政府的退休金改革草案，呼吁公众走上街头表达意见。,
en-ru,tear,16,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,59.06081795692444,70.92884182929993,11.868023872375488,11.868023872375488,0.0,0.0,Бесшовное движение по всему миру - Никаких времен загрузки не требуется при исследовании.,Непрерывное движение по всему миру - исследуйте без необходимости загрузки.,
he-en,it,191,True,1.0,culture-11929702.ugc,מי זה?!,Who is he?!,G35,GPT-3.5-Turbo,GP,Gemini-Pro,G4o,GPT-4o,51.789337396621704,63.528889417648315,11.739552021026611,11.006408929824829,0.0,0.0,Who is it?!,Who is that?!,
en-ru,it,189,True,1.0,en_fr_CLIENT-02_default_2020-12-27-11_doc09,Please let me know what is your #PRS_ORG# model,"Сообщите мне, какая у Вас модель #PRS_ORG#",G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,78.51765751838684,89.20735716819763,10.689699649810791,10.689699649810791,0.0,0.0,"Ваш случай: Источник: Пожалуйста, дайте мне знать, какая у вас модель #PRS_ORG#","Пожалуйста, сообщите мне, какая у вас модель #PRS_ORG#",
en-ru,it,89,True,1.0,cnn.81799,"Rice's son, Christopher Rice, said he was at his mother's bedside when she died.","Сын Райс, Кристофер Райс сообщил, что был возле кровати матери, когда она умерла.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,71.01706862449646,81.63222670555115,10.615158081054688,10.615158081054688,0.0,0.0,"Ваше дело: Райсов сын, Кристофер Райс, сказал, что был у постели своей матери, когда она умерла.","Сын Райс, Кристофер Райс, сказал, что был у постели матери, когда она умерла.",
zh-en,it,89,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C35,Claude-3.5-Sonnet,63.77266049385071,74.35780167579651,10.5851411819458,8.985912799835205,0.0,0.0,"Your case: Source: Received the engine oil in the morning, and changed it in the afternoon.",Received the engine oil in the morning and changed it in the afternoon.,
en-he,it,133,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,79.86165881156921,90.17835259437561,10.316693782806396,3.1857669353485107,0.0,0.0,"המקרה שלך: לאחר הכל, הפעילות שלו נמדדת בשליטה על היישום בסמארטפון, ולא הרבה יותר.","בסופו של דבר, הפעילות שלו מסתכמת בשליטה על האפליקציה בטלפון החכם, ולא הרבה מעבר לכך.",
en-zh,tear,106,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,55.85370063781738,66.13959670066833,10.285896062850952,-28.13672423362732,0.0,0.0,墨西哥的信息暗示，这种情况经常发生：2020年3月，由于来自东亚的前体物质供应不足，墨西哥和美国报告了冰毒价格上涨的情况。,"来自墨西哥的信息表明,目前情况通常已经如此:2020年3月,由于来自东亚的前体供应短缺,墨西哥和美国报告了甲基苯丙胺的价格上涨。",
en-zh,tear,161,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C35,Claude-3.5-Sonnet,62.686872482299805,72.92799353599548,10.241121053695679,-7.210719585418701,0.0,0.0,传统的国内健身房通常采用预付费模式，它们的发展往往是由“从无法前来的用户赚钱”所驱动的。,传统的国内健身房通常采用预付费模式，其发展的动机是通过“不来健身房的用户”盈利。,
en-he,it,140,False,,,,,G4o,GPT-4o,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,85.0329339504242,94.48701739311218,9.454083442687988,9.454083442687988,1.8564130067825317,1.8564130067825317,"המקרה שלך: בקרוב נחגוג את יום העצמאות ה-74 של ישראל. כציוני נלהב, מה הרגשות שלך לגבי החג?","בקרוב נחגוג את יום העצמאות ה-74 של ישראל. כציוני נלהב, מהן תחושותיך לגבי החג?",
he-en,it,148,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,G4o,GPT-4o,72.98657298088074,82.42548704147339,9.438914060592651,5.6253015995025635,0.0,0.0,"Recently, he fell ill with the spread of the disease, and an abnormal accumulation of fluids was discovered inside the heart chamber, where the heart muscle is located.","Recently, he experienced a spread of the disease, and an abnormal accumulation of fluids was discovered inside the pericardium, within which the heart muscle is located.",
en-he,it,78,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,70.9666907787323,80.35390973091125,9.387218952178955,4.22249436378479,0.0,0.0,"המקרה שלך: מקור: אני מכין רוב המנות, וכמובן שהן מתחממות על הכיריים בשבת.","אני מכינה את רוב המנות, וכמובן שהן מתחממות על הכיריים בשבת.",
en-de,it,0,True,1.0,pamela.110349799698679008,I swear burrata didn't exist five years ago,"Ich schwöre, Burrata gab es vor fünf Jahren noch nicht",G4o,GPT-4o,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,86.63299083709717,95.94456553459167,9.311574697494507,9.311574697494507,0.8361838459968567,0.8361838459968567,"Ich schwöre, Burrata gab es vor fünf Jahren nicht.","Ich schwöre, Burrata gab es vor fünf Jahren noch nicht.",
en-zh,it,44,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,78.64810824394226,87.92408108711243,9.275972843170166,9.275972843170166,0.0,0.0,你的情况：我们应该协调好发展和安全两大任务，贯彻总体国家安全观，完善国家安全体系，增强维护国家安全能力，坚决维护国家政权安全、制度安全、意识形态安全和重要领域安全。,我们要统筹好发展和安全两件大事，贯彻总体国家安全观，完善国家安全体系，增强维护国家安全能力，坚决维护国家政权安全、制度安全、意识形态安全和重点领域安全。,
de-en,tear,33,True,1.0,manlycoffee.110351250115060992,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?",Could it be that Google Search is integrated with Google Maps?,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,79.26295399665833,88.48199248313904,9.219038486480713,9.219038486480713,0.0,0.0,Could it be that the Google search is incorporated into Google Maps?,Could it be that Google Search is integrated into Google Maps?,
de-en,it,80,True,0.9565,Gwendolyn.110349819552196992,"Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich.","The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.",G35,GPT-3.5-Turbo,GP,Gemini-Pro,C3,Claude-3-Opus,69.60234642028809,78.76899838447571,9.166651964187622,5.637770891189575,0.0,0.0,"Your case: The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplified and inaccurate. It almost seems as if one would leave a part of the thesis to the TERF. I think that being transgender means being ""biologically non-binary."" I am non-binary, my gender is female.","The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplistic and inaccurate. It almost seems like leaving part of the argument to the TERF. I think being transgender means being ""biologically non-binary"". I am non-binary, my gender is female.",
en-he,tear,108,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,G4o,GPT-4o,88.09904456138611,97.04930186271667,8.950257301330566,8.950257301330566,0.0,0.0,כיצד אתה מסכם את שנתיים האלה במכבי תל אביב?,איך אתה מסכם את השנתיים האלה במכבי תל אביב?,
he-en,tear,60,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C3,Claude-3-Opus,74.08035397529602,83.00776481628418,8.92741084098816,4.31627631187439,0.0,0.0,"He is determined to control us, to steal our freedom and our independence.",It is a deliberate effort to control us and rob us of our freedom.,
en-de,tear,53,True,0.92,MLClark.110350771110364992,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"Ich wundere mich oft über die menschliche Fähigkeit, *so* selbstkritisch zu sein, während man mit so vielen Belegen für echte Grausamkeit überflutet wird.",G35,GPT-3.5-Turbo,G4o,GPT-4o,C3,Claude-3-Opus,73.23331236839294,81.89820647239685,8.664894104003906,-11.73412799835205,0.0,0.0,"Ich frage mich oft über die menschliche Fähigkeit, so sehr auf sich selbst herabzublicken, während man von so vielen Beweisen dessen umgeben ist, wie wirkliche Grausamkeit aussieht.","Ich wundere mich oft über die menschliche Fähigkeit, *so* kritisch mit sich selbst zu sein, während man von so vielen Beweisen für die tatsächliche Grausamkeit überschwemmt wird.",
de-en,it,125,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,54.938626289367676,63.49936127662659,8.560734987258911,8.560734987258911,0.0,0.0,Your case: Source: Plans to grow the lettuce in Penn in a 6-row pattern and see how it compares to spreading it on seed beds.,Plans to grow the lettuce in Penn in a 6-row pattern and see how that compares to broadcasting on seed beds.,
en-he,it,116,True,1.0,tech-10857141.ugc,Someone here missed an important detail,מישהו פה פספס פרט חשוב,G4o,GPT-4o,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,89.28658962249756,97.49011397361755,8.203524351119995,-37.7463698387146,2.9052781462669373,2.9052781462669373,המקרה שלך: מישהו כאן פספס פרט חשוב,מישהו פה פספס פרט חשוב,
en-de,tear,138,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,68.37263703346252,76.55838131904602,8.185744285583496,8.185744285583496,0.0,0.0,"Ja, ich habe vielleicht gerade darüber nachgedacht, welche Arten von Daten wir derzeit für dieses verwenden, denn zum Beispiel, wenn du die Modelle von [ORGANIZATION4] auf [ORGANIZATION5] überprüfst, sind sie schon ziemlich gut in diesen Dingen -","(PERSON6) Ja, ich habe vielleicht gerade darüber nachgedacht, welche Arten von Daten wir derzeit dafür verwenden, denn wenn man zum Beispiel die Modelle von [ORGANIZATION4] auf [ORGANIZATION5] überprüft, sind sie in diesen Dingen schon ziemlich gut.",
en-zh,tear,34,True,0.9383,home-1-zh_0279080-154,"I will recognize it and purchase a number of these if I only come across one like it, when I contacted Amazon customer service, they informed me that the shipping price may be reimbursed but that it would first need to be paid and would then be given to me in the form of a gift card.",如果我只是碰到一个这样的，我认了，买了几个都是这样子，找亚马逊客服，客服就说可以退，但运费垫付，然后运费以礼品卡的形式返回给我。,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,60.34732460975647,68.3249294757843,7.977604866027832,2.8663933277130127,0.0,0.0,当我只遇到一个像这样的情况时，我会认出它并购买一些，当我联系亚马逊客服时，他们告诉我运费可能会被报销，但首先需要支付，然后以礼品卡的形式给我。,"如果我碰巧遇到一个类似的产品,我会认出它并购买多个;当我联系亚马逊客户服务时,他们告诉我运费可以报销,但需要先支付,然后以礼品卡的形式返还给我。",
en-he,tear,44,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,G4o,GPT-4o,80.97160458564758,88.39606046676636,7.424455881118774,7.424455881118774,0.0,0.0,"מצד הצרכן הישראלי, משלוחים מהירים של המשלוחים, תוך מספר ימים מרגע ההזמנה, תומכים ברכישת מוצרים יומיומיים נוספים כגון בגדים ומתנות, אותם קונים רוצים לקבל קרוב לרכישה.","מצד הצרכן הישראלי, המשלוח המהיר של החבילות, תוך מספר ימים מרגע ההזמנה, תומך ברכישת מוצרים לשימוש יומיומי כמו בגדים ומתנות, שהקונים מעוניינים לקבל בסמוך לרכישה.",
en-ru,tear,72,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C3,Claude-3-Opus,78.30178737640381,84.85754132270813,6.555753946304321,4.208278656005859,0.0,0.0,"Для целей качества это чат-взаимодействие будет закрыто, пожалуйста, помните, что вы всегда можете вернуться, и мы будем рады продолжить помогать вам.","В целях обеспечения качества этот чат будет закрыт, пожалуйста, помните, что вы всегда можете вернуться, и мы будем рады продолжить вам помогать.",
zh-en,tear,98,False,,,,,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,74.62021112442017,81.04020953178406,6.419998407363892,6.067031621932983,0.0,0.0,"When you suspect encountering fraud or other crimes, you should immediately call the police fraud prevention hotline 8800 7777 or reporting hotline 993 for help.","When you suspect fraud or other crimes, please call the Police Fraud Reporting Hotline 8800 7777 or the Crime Report Hotline 993 immediately for assistance.  ",
zh-en,tear,74,False,,,,,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,63.592320680618286,69.89012360572815,6.297802925109863,-3.2252252101898193,0.0,0.0,"Iran commemorates the anniversary of the revolution, as hackers who support the protests hacked the president's TV speech.",Hackers supporting the protests hacked the president's televised address during Iran's anniversary of the revolution.  ,
en-ru,tear,28,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C3,Claude-3-Opus,69.1994309425354,75.34046769142151,6.141036748886108,2.9281318187713623,0.0,0.0,"Большей частью зная, что нужно осторожно говорить, но то, что больше всего бросается в глаза, это то, что вы видели вещи в другом свете, но в целом оставались на хороших отношениях.","В основном, понимая, что вещи нужно говорить осторожно, больше всего бросается в глаза то, что вы видели вещи в другом свете, но в целом остались в хороших отношениях.",
de-en,it,149,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,86.17647290229797,92.15194582939148,5.975472927093506,5.975472927093506,0.0,0.0,I am now on book number 31 and it is only May.,I'm now on book number 31 and it's only May.,
de-en,tear,131,False,,,,,C35,Claude-3.5-Sonnet,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,81.9758951663971,87.89451122283936,5.918616056442261,0.0,0.9947038292884827,0.9947038292884827,Not like the other Tomb Raider games,Not like the other Tomb Raider games.,
