pair,strategy,sentence_index_0based,has_public_source_reference,alignment_similarity,sample_id,source_text,reference_translation,meprs_model,meprs_model_name,bleurt_best_model,bleurt_best_model_name,best_single_model_for_condition,best_single_model_name,meprs_bleurt,bleurt_best_score,gap_to_bleurt_best,gap_to_best_single_model_at_sentence,meprs_reviewer_sum,bleurt_best_reviewer_sum,meprs_translation,bleurt_best_translation,reviewer_note_zh
de-en,tear,33,True,1.0,manlycoffee.110351250115060992,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?",Could it be that Google Search is integrated with Google Maps?,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,79.26295399665833,88.48199248313904,9.219038486480713,9.219038486480713,0.0,0.0,Could it be that the Google search is incorporated into Google Maps?,Could it be that Google Search is integrated into Google Maps?,
de-en,it,80,True,0.9565,Gwendolyn.110349819552196992,"Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich.","The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.",G35,GPT-3.5-Turbo,GP,Gemini-Pro,C3,Claude-3-Opus,69.60234642028809,78.76899838447571,9.166651964187622,5.637770891189575,0.0,0.0,"Your case: The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplified and inaccurate. It almost seems as if one would leave a part of the thesis to the TERF. I think that being transgender means being ""biologically non-binary."" I am non-binary, my gender is female.","The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplistic and inaccurate. It almost seems like leaving part of the argument to the TERF. I think being transgender means being ""biologically non-binary"". I am non-binary, my gender is female.",
en-de,tear,53,True,0.92,MLClark.110350771110364992,I often wonder at the human capacity to be *so* down on oneself while inundated by so much evidence of what actual cruelty looks like.,"Ich wundere mich oft über die menschliche Fähigkeit, *so* selbstkritisch zu sein, während man mit so vielen Belegen für echte Grausamkeit überflutet wird.",G35,GPT-3.5-Turbo,G4o,GPT-4o,C3,Claude-3-Opus,73.23331236839294,81.89820647239685,8.664894104003906,-11.73412799835205,0.0,0.0,"Ich frage mich oft über die menschliche Fähigkeit, so sehr auf sich selbst herabzublicken, während man von so vielen Beweisen dessen umgeben ist, wie wirkliche Grausamkeit aussieht.","Ich wundere mich oft über die menschliche Fähigkeit, *so* kritisch mit sich selbst zu sein, während man von so vielen Beweisen für die tatsächliche Grausamkeit überschwemmt wird.",
en-he,it,116,True,1.0,tech-10857141.ugc,Someone here missed an important detail,מישהו פה פספס פרט חשוב,G4o,GPT-4o,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,89.28658962249756,97.49011397361755,8.203524351119995,-37.7463698387146,2.9052781462669373,2.9052781462669373,המקרה שלך: מישהו כאן פספס פרט חשוב,מישהו פה פספס פרט חשוב,
en-zh,tear,34,True,0.9383,home-1-zh_0279080-154,"I will recognize it and purchase a number of these if I only come across one like it, when I contacted Amazon customer service, they informed me that the shipping price may be reimbursed but that it would first need to be paid and would then be given to me in the form of a gift card.",如果我只是碰到一个这样的，我认了，买了几个都是这样子，找亚马逊客服，客服就说可以退，但运费垫付，然后运费以礼品卡的形式返回给我。,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,60.34732460975647,68.3249294757843,7.977604866027832,2.8663933277130127,0.0,0.0,当我只遇到一个像这样的情况时，我会认出它并购买一些，当我联系亚马逊客服时，他们告诉我运费可能会被报销，但首先需要支付，然后以礼品卡的形式给我。,"如果我碰巧遇到一个类似的产品,我会认出它并购买多个;当我联系亚马逊客户服务时,他们告诉我运费可以报销,但需要先支付,然后以礼品卡的形式返还给我。",
en-ru,tear,7,True,1.0,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,80.63680529594421,86.32510304450989,5.688297748565674,5.688297748565674,0.0,0.0,"Спасибо за обращение в #PRS_ORG#, мне было приятно помочь вам сегодня.","Спасибо, что обратились в #PRS_ORG#, я была рада помочь вам сегодня.",
en-ru,tear,69,True,0.9524,en_de_CLIENT-01_default_2021-01-10-57_doc0,"Please kindly fill this in if you have a moment, however if you don't have time then may I wish you a wonderful day and thank you again.","Пожалуйста, заполните ее, если у Вас есть свободное время, однако, если Вам некогда, желаю Вам хорошего дня и снова благодарю Вас.",G35,GPT-3.5-Turbo,G4o,GPT-4o,C3,Claude-3-Opus,73.43097925186157,78.7278413772583,5.2968621253967285,1.714920997619629,0.0,0.0,"Пожалуйста, заполните это, если у вас есть минутка, но если у вас нет времени, позвольте пожелать вам замечательного дня и еще раз спасибо.","Пожалуйста, будьте добры заполнить это, если у вас есть время, однако если у вас нет времени, то желаю вам прекрасного дня и еще раз благодарю вас.",
en-de,tear,33,True,1.0,manlycoffee.110351250115060992,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?",G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,84.12250876426697,88.90538215637207,4.7828733921051025,4.7828733921051025,0.0,0.0,"Könnte es sein, dass die Google-Suche mit Google Maps integriert ist?","Könnte es sein, dass die Google-Suche in Google Maps integriert ist?",
en-ru,tear,6,True,1.0,en_de_CLIENT-02_default_2021-02-07-7_doc0,I will be more than happy to assist you.,Для меня было бы большей радостью помочь Вам.,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,93.97667646408081,98.66426587104797,4.687589406967163,-4.702967405319214,1.8015791177749634,1.8015791177749634,Я буду очень рад помочь вам.,Я буду более чем рад помочь вам.,
de-en,it,71,True,1.0,pa.35733,Bidens Justizministerium „will keine bewaffneten Bürger“,Biden DOJ 'Doesn't Want an Armed Citizenry',C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,66.86639189720154,71.4765727519989,4.610180854797363,0.0,0.9010481238365173,0.9010481238365173,"Biden's Justice Department ""does not want armed citizens""","Biden's Justice Department ""doesn't want armed citizens""",
de-en,tear,71,True,1.0,pa.35733,Bidens Justizministerium „will keine bewaffneten Bürger“,Biden DOJ 'Doesn't Want an Armed Citizenry',C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,66.86639189720154,71.4765727519989,4.610180854797363,4.610180854797363,2.703144371509552,2.703144371509552,"Biden's Justice Department ""does not want armed citizens""","Biden's Justice Department ""doesn't want armed citizens""",
en-he,it,38,True,1.0,tech-10794134.news,Musk is waiting for Trump’s return: “It was wrong to block him”,"מאסק מחכה לשובו של טראמפ: ""לא היה נכון לחסום אותו""",C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,80.73888421058655,84.57499146461487,3.8361072540283203,3.8361072540283203,0.8718507885932922,0.8718507885932922,"מאסק מחכה לחזרתו של טראמפ: ""היה זה שגוי לחסום אותו""","מאסק מחכה לחזרתו של טראמפ: ""זה היה מוטעה לחסום אותו""",
ru-en,tear,75,True,0.9268,express.co.uk.29378,"Когда она начала осознавать себя, она не знала ничего, кроме ношения масок, постоянного мытья рук и поддержания дистанции.","Since she became properly aware she has known nothing but mask wearing, obsessive hand washing and keeping your distance.",C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,72.27924466133118,74.16771054267883,1.8884658813476562,1.8884658813476562,0.9311044812202454,0.9311044812202454,"When she began to become aware of herself, she knew nothing except wearing masks, constantly washing her hands, and maintaining distance.","When she began to become self-aware, she knew nothing but wearing masks, constant hand washing, and maintaining distance.",
de-en,tear,80,True,0.9565,Gwendolyn.110349819552196992,"Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich.","The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,76.30216479301453,78.16317677497864,1.8610119819641113,1.8610119819641113,0.0,0.0,"The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplified and inaccurate. It almost seems as if one would leave a part of the thesis to the TERF. I think that being transsexual means to be ""biologically non-binary."" I am non-binary, my gender is female.","The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplified and inaccurate. It almost seems like leaving part of the argument to TERFs (Trans-Exclusionary Radical Feminists). I think being transsexual means being ""biologically non-binary."" I am non-binary, my gender is female.",
de-en,tear,5,True,1.0,peterdrake.110350524387664000,"Das wäre hauptsächlich zum Surfen im Internet, ab und zu für E-Mails und einige Spiele.","This would be mainly for web browsing, occasional email, and some games.",G35,GPT-3.5-Turbo,G4o,GPT-4o,C35,Claude-3.5-Sonnet,76.34537816047668,78.19890975952148,1.8535315990447998,-1.9910037517547607,0.8371041417121887,0.8371041417121887,"That would mainly be for internet surfing, occasionally for emails, and some games.","That would be mainly for surfing the internet, occasionally checking emails, and playing some games.",
en-ru,tear,196,True,1.0,ecommerce_en_41,Posters are sent in a sturdy carded A5 envelope.,Плакаты поставляются в твердом конверте формата A5.,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,85.96042990684509,87.58081197738647,1.6203820705413818,-3.89174222946167,0.0,0.0,Плакаты отправляются в прочном картонном конверте формата A5.,Плакаты отправляются в прочном картонном конверте формата А5.,
en-ru,it,29,True,1.0,en_fr_CLIENT-02_default_2020-12-27-14_doc04,Tap Accounts.,Нажмите «Учетные записи».,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,47.20223546028137,48.69757294654846,1.4953374862670898,1.4953374862670898,1.5424867868423462,1.5424867868423462,Ваш случай: Источник: Нажмите на учетные записи.,Нажмите «Счета».,
ru-en,tear,180,True,1.0,en_fr_CLIENT-02_default_2020-12-27-11_doc03,Нажмите «Настройки».,Tap Settings.,C35,Claude-3.5-Sonnet,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,77.92970538139343,79.33332920074463,1.4036238193511963,0.0,3.895416736602783,3.895416736602783,"Click ""Settings"".",Press Settings.,
en-zh,tear,1,True,1.0,sports-1-zh_0749906-157,Tell me at least whether it's nice or awful!,你好歹告诉一声，到底是好的还是坏的啊！,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,74.87133145332336,76.213139295578,1.3418078422546387,1.3418078422546387,0.0,0.0,请告诉我至少是好还是糟糕！,至少告诉我它是好还是糟糕吧！,
en-de,tear,82,True,1.0,Gwendolyn.110349819552196992,Been toying with this thought for a little while:,Mit diesem Gedanken schon eine Weile gespielt:,G35,GPT-3.5-Turbo,G4o,GPT-4o,C3,Claude-3-Opus,79.83004450798035,81.06041550636292,1.2303709983825684,-9.0268075466156,2.5288453102111816,2.5288453102111816,Habe eine Weile mit diesem Gedanken gespielt.,Habe schon eine Weile mit diesem Gedanken gespielt.,
de-en,it,184,True,0.9545,imtheq.110350767978472992,In meiner Jugend war ich ein unersättlicher Leser. Dann hat das Leben meine Seele zerstört und ich habe all meine Leidenschaft für Literatur und tolle Erzählungen verloren.,"I was a voracious reader in my youth. Then, life crushed my soul and I lost all my passion for fiction and great storytelling.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,76.9262969493866,77.83089876174927,0.9046018123626709,-2.9802322387695312e-05,0.0,0.0,"In my youth, I was an insatiable reader. Then life destroyed my soul and I lost all my passion for literature and great stories.","In my youth, I was an insatiable reader. Then life destroyed my soul, and I lost all my passion for literature and great stories.",
ru-en,it,192,True,1.0,ecommerce_en_26,"Информация и заявления о продуктах не предназначены для использования в качестве диагноза, лечения или профилактики какого-либо заболевания или состояния здоровья.","Information and statements about products are not intended to be used to diagnose, treat, cure, or prevent any disease or health condition.",C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,86.81138157844543,87.23397850990295,0.42259693145751953,0.42259693145751953,0.9329829812049866,0.9329829812049866,"Information and statements about products are not intended to be used as a diagnosis, treatment or prevention of any disease or health condition.","Information and statements about products are not intended to be used as a diagnosis, treatment, or prevention of any disease or health condition.",
ru-en,tear,104,True,1.0,en_fr_CLIENT-02_default_2020-12-27-11_doc03,Нажмите «Настройки».,Tap Settings.,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,77.92944312095642,78.2975971698761,0.36815404891967773,-0.00015497207641601562,0.0,0.0,"Click ""Settings"".","## Click ""Settings"".  ",
ru-en,tear,179,True,1.0,t3_qdm51k,Много лет назад я работал в мебельной мастерской.,"Years ago, I worked at a cabinet shop.",G4o,GPT-4o,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,75.17418265342712,75.36944150924683,0.19525885581970215,0.0,1.9421679973602295,1.9421679973602295,"Many years ago, I worked in a furniture workshop.",Many years ago I worked in a furniture workshop.,
en-zh,tear,145,True,1.0,xm-2,Note:,注意,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,81.44620656967163,81.44620656967163,0.0,0.0,0.8574299812316895,0.8463170528411865,注意：,注意:,
