pair,strategy,mbr_utility,sentence_index_0based,selected_model,selected_model_name,selected_bleurt,meprs_model,meprs_bleurt
de-en,it,sacrebleu,38,C3,Claude-3-Opus,81.98401927947998,C3,81.98401927947998
de-en,it,sacrebleu,39,C35,Claude-3.5-Sonnet,67.12689995765686,G35,74.59954619407654
de-en,it,sacrebleu,40,G4o,GPT-4o,64.91494178771973,C35,75.88603496551514
de-en,it,sacrebleu,41,G4o,GPT-4o,74.34988021850586,GP,74.46731328964233
de-en,it,sacrebleu,42,C35,Claude-3.5-Sonnet,78.8059949874878,C35,78.8059949874878
de-en,it,sacrebleu,43,C3,Claude-3-Opus,65.51936864852905,G35,67.98861622810364
de-en,it,sacrebleu,44,G4o,GPT-4o,72.32689261436462,C3,72.32705354690552
de-en,it,sacrebleu,45,C35,Claude-3.5-Sonnet,86.86566352844238,G4o,88.89636993408203
de-en,it,sacrebleu,46,G4o,GPT-4o,79.29845452308655,C35,79.30822968482971
de-en,it,sacrebleu,47,G4o,GPT-4o,85.34461855888367,C3,85.34505367279053
de-en,it,sacrebleu,48,G35,GPT-3.5-Turbo,65.03788232803345,C3,71.25953435897827
de-en,it,sacrebleu,49,C35,Claude-3.5-Sonnet,75.85298418998718,C35,75.85298418998718
de-en,it,sacrebleu,50,G4o,GPT-4o,78.35893034934998,C3,78.64606380462646
de-en,it,sacrebleu,51,G4o,GPT-4o,82.33292698860168,G4o,82.33292698860168
de-en,it,sacrebleu,52,G4o,GPT-4o,76.14371180534363,C3,77.70610451698303
de-en,it,sacrebleu,53,G4o,GPT-4o,76.38620734214783,G4o,76.38620734214783
de-en,it,sacrebleu,54,C35,Claude-3.5-Sonnet,77.31202244758606,C35,77.31202244758606
de-en,it,sacrebleu,55,C35,Claude-3.5-Sonnet,60.75788140296936,G35,60.828399658203125
de-en,it,sacrebleu,56,G35,GPT-3.5-Turbo,86.48066520690918,C35,86.48066520690918
de-en,it,sacrebleu,57,G4o,GPT-4o,81.41059279441833,C3,86.06189489364624
de-en,it,sacrebleu,58,G4o,GPT-4o,78.11042666435242,C35,81.21654391288757
de-en,it,sacrebleu,59,G35,GPT-3.5-Turbo,71.42497301101685,G4o,84.23522114753723
de-en,it,sacrebleu,60,G4o,GPT-4o,86.67334914207458,C35,86.67334914207458
de-en,it,sacrebleu,61,C3,Claude-3-Opus,69.77311372756958,C35,72.05525636672974
de-en,it,sacrebleu,62,G35,GPT-3.5-Turbo,72.24045395851135,C35,72.24045395851135
de-en,it,sacrebleu,63,G4o,GPT-4o,63.572949171066284,G4o,63.572949171066284
de-en,it,sacrebleu,64,C3,Claude-3-Opus,80.96817135810852,G4o,81.69723153114319
de-en,it,sacrebleu,65,G35,GPT-3.5-Turbo,3.6228425800800323,C35,54.9763560295105
de-en,it,sacrebleu,66,C3,Claude-3-Opus,75.77388882637024,G4o,78.51262092590332
de-en,it,sacrebleu,67,C35,Claude-3.5-Sonnet,69.11360025405884,C3,74.03604388237
de-en,it,sacrebleu,68,C3,Claude-3-Opus,77.17333436012268,C35,77.66436338424683
de-en,it,sacrebleu,69,C35,Claude-3.5-Sonnet,80.55110573768616,C3,80.8093786239624
de-en,it,sacrebleu,70,C3,Claude-3-Opus,76.63100361824036,G4o,77.32887864112854
de-en,it,sacrebleu,71,G4o,GPT-4o,66.86639189720154,C3,66.86639189720154
de-en,it,sacrebleu,72,G4o,GPT-4o,58.78679156303406,C35,61.13705039024353
de-en,it,sacrebleu,73,GP,Gemini-Pro,67.56987571716309,C35,79.98567819595337
de-en,it,sacrebleu,74,G4o,GPT-4o,73.90324473381042,GP,78.1207263469696
de-en,it,sacrebleu,75,C35,Claude-3.5-Sonnet,63.36875557899475,GP,68.00736784934998
de-en,it,sacrebleu,76,C3,Claude-3-Opus,76.11782550811768,GP,76.11782550811768
de-en,it,sacrebleu,77,C3,Claude-3-Opus,78.4104585647583,C35,79.70301508903503
de-en,it,sacrebleu,78,G4o,GPT-4o,80.24026155471802,C35,81.10178112983704
de-en,it,sacrebleu,79,G4o,GPT-4o,74.67427849769592,G4o,74.67427849769592
de-en,it,sacrebleu,80,C35,Claude-3.5-Sonnet,75.47585368156433,G35,69.60234642028809
de-en,it,sacrebleu,81,GP,Gemini-Pro,53.84018421173096,C35,63.04974555969238
de-en,it,sacrebleu,82,C35,Claude-3.5-Sonnet,82.13446140289307,C3,85.76461672782898
de-en,it,sacrebleu,83,G35,GPT-3.5-Turbo,81.76204562187195,C35,81.76204562187195
de-en,it,sacrebleu,84,C35,Claude-3.5-Sonnet,71.74736261367798,G4o,73.83747696876526
de-en,it,sacrebleu,85,GP,Gemini-Pro,66.17305874824524,C35,75.21387934684753
de-en,it,sacrebleu,86,G4o,GPT-4o,81.69371485710144,C35,92.17385649681091
de-en,it,sacrebleu,87,G4o,GPT-4o,65.61011075973511,GP,72.02982902526855
de-en,it,sacrebleu,88,G4o,GPT-4o,93.47360730171204,C35,93.47360730171204
de-en,it,sacrebleu,89,G35,GPT-3.5-Turbo,79.09461855888367,G35,79.09461855888367
de-en,it,sacrebleu,90,C3,Claude-3-Opus,78.14860939979553,C35,81.01441860198975
de-en,it,sacrebleu,91,G4o,GPT-4o,86.52247786521912,C35,86.52247786521912
de-en,it,sacrebleu,92,G4o,GPT-4o,53.06190252304077,G35,62.70394325256348
de-en,it,sacrebleu,93,G4o,GPT-4o,78.87955904006958,C35,79.48940396308899
de-en,it,sacrebleu,94,C35,Claude-3.5-Sonnet,67.74990558624268,C3,70.38276195526123
de-en,it,sacrebleu,95,C3,Claude-3-Opus,62.418317794799805,G4o,63.814955949783325
de-en,it,sacrebleu,96,G4o,GPT-4o,96.32725119590759,C35,96.32725119590759
de-en,it,sacrebleu,97,C35,Claude-3.5-Sonnet,81.64607286453247,G4o,81.79327845573425
de-en,it,sacrebleu,98,C3,Claude-3-Opus,74.54723715782166,C3,74.54723715782166
de-en,it,sacrebleu,99,C35,Claude-3.5-Sonnet,74.8124897480011,C35,74.8124897480011
de-en,it,sacrebleu,100,C35,Claude-3.5-Sonnet,80.04735112190247,GP,80.63280582427979
de-en,it,sacrebleu,101,G4o,GPT-4o,64.50492143630981,G35,63.52599859237671
de-en,it,sacrebleu,102,C35,Claude-3.5-Sonnet,78.24776768684387,C35,78.24776768684387
de-en,it,sacrebleu,103,C3,Claude-3-Opus,85.54450869560242,C35,85.54450869560242
de-en,it,sacrebleu,104,C35,Claude-3.5-Sonnet,60.95249652862549,G4o,63.88787627220154
de-en,it,sacrebleu,105,G35,GPT-3.5-Turbo,87.04473972320557,G35,87.04473972320557
de-en,it,sacrebleu,106,C3,Claude-3-Opus,86.8171751499176,C3,86.8171751499176
de-en,it,sacrebleu,107,G35,GPT-3.5-Turbo,84.90296602249146,C35,84.90298390388489
de-en,it,sacrebleu,108,C3,Claude-3-Opus,73.63336682319641,GP,73.75983595848083
de-en,it,sacrebleu,109,C35,Claude-3.5-Sonnet,73.71407151222229,C3,79.53038811683655
de-en,it,sacrebleu,110,G4o,GPT-4o,70.3015387058258,GP,71.79224491119385
de-en,it,sacrebleu,111,G35,GPT-3.5-Turbo,74.67262744903564,C3,87.04288601875305
de-en,it,sacrebleu,112,G4o,GPT-4o,72.28774428367615,GP,90.24658799171448
de-en,it,sacrebleu,113,G4o,GPT-4o,72.01746702194214,C35,72.01746702194214
de-en,it,sacrebleu,114,GP,Gemini-Pro,66.24543070793152,C35,78.03237438201904
de-en,it,sacrebleu,115,G4o,GPT-4o,79.38907742500305,C3,81.98756575584412
de-en,it,sacrebleu,116,C3,Claude-3-Opus,75.92973113059998,C3,75.92973113059998
de-en,it,sacrebleu,117,G4o,GPT-4o,70.67911028862,G4o,70.67911028862
de-en,it,sacrebleu,118,G4o,GPT-4o,78.93506288528442,C35,78.93506288528442
de-en,it,sacrebleu,119,C3,Claude-3-Opus,76.54723525047302,G4o,77.1598756313324
de-en,it,sacrebleu,120,C35,Claude-3.5-Sonnet,73.123300075531,C3,73.7242341041565
de-en,it,sacrebleu,121,G4o,GPT-4o,92.20359325408936,C3,92.20362305641174
de-en,it,sacrebleu,122,C35,Claude-3.5-Sonnet,70.21806836128235,C35,70.21806836128235
de-en,it,sacrebleu,123,G4o,GPT-4o,73.6371636390686,G4o,73.6371636390686
de-en,it,sacrebleu,124,C3,Claude-3-Opus,83.14514756202698,G4o,83.2413375377655
de-en,it,sacrebleu,125,C3,Claude-3-Opus,63.49936127662659,G35,54.938626289367676
de-en,it,sacrebleu,126,C35,Claude-3.5-Sonnet,77.06555128097534,G4o,81.05579018592834
de-en,it,sacrebleu,127,G4o,GPT-4o,65.50543308258057,C3,76.59974098205566
de-en,it,sacrebleu,128,G35,GPT-3.5-Turbo,67.36009120941162,G4o,67.36016869544983
de-en,it,sacrebleu,129,C3,Claude-3-Opus,61.402225494384766,G4o,66.19238257408142
de-en,it,sacrebleu,130,C35,Claude-3.5-Sonnet,75.55341124534607,C3,77.09532976150513
de-en,it,sacrebleu,131,G35,GPT-3.5-Turbo,81.97576403617859,C3,81.9758951663971
de-en,it,sacrebleu,132,C3,Claude-3-Opus,80.32423257827759,G4o,80.85165619850159
de-en,it,sacrebleu,133,G4o,GPT-4o,87.76642084121704,G4o,87.76642084121704
de-en,it,sacrebleu,134,GP,Gemini-Pro,56.26416206359863,C3,62.18023896217346
de-en,it,sacrebleu,135,C3,Claude-3-Opus,78.6952018737793,C35,79.29032444953918
de-en,it,sacrebleu,136,G4o,GPT-4o,70.97162008285522,C3,71.85838222503662
de-en,it,sacrebleu,137,C3,Claude-3-Opus,101.53738260269165,C3,101.53738260269165
de-en,it,sacrebleu,138,C35,Claude-3.5-Sonnet,68.01333427429199,C3,76.29052400588989
de-en,it,sacrebleu,139,C35,Claude-3.5-Sonnet,80.60992360115051,GP,81.87944293022156
de-en,it,sacrebleu,140,C3,Claude-3-Opus,77.4289071559906,C3,77.4289071559906
de-en,it,sacrebleu,141,G35,GPT-3.5-Turbo,85.64810156822205,G4o,94.76933479309082
de-en,it,sacrebleu,142,G4o,GPT-4o,74.87661838531494,G35,70.97671031951904
de-en,it,sacrebleu,143,GP,Gemini-Pro,38.12477886676788,C3,80.69388270378113
de-en,it,sacrebleu,144,G4o,GPT-4o,94.75260376930237,G35,97.53215909004211
de-en,it,sacrebleu,145,G4o,GPT-4o,77.31181979179382,C35,81.59620761871338
de-en,it,sacrebleu,146,G4o,GPT-4o,75.0794529914856,G4o,75.0794529914856
de-en,it,sacrebleu,147,G4o,GPT-4o,77.8056800365448,C3,79.54050898551941
de-en,it,sacrebleu,148,G4o,GPT-4o,69.54494118690491,C3,75.33968091011047
de-en,it,sacrebleu,149,G4o,GPT-4o,92.1518087387085,G35,86.17647290229797
de-en,it,sacrebleu,150,C3,Claude-3-Opus,77.87254452705383,G4o,78.07451486587524
de-en,it,sacrebleu,151,C3,Claude-3-Opus,79.70246076583862,C3,79.70246076583862
de-en,it,sacrebleu,152,G4o,GPT-4o,86.22071146965027,C35,86.22071146965027
de-en,it,sacrebleu,153,G4o,GPT-4o,71.26949429512024,C35,71.33356928825378
de-en,it,sacrebleu,154,C35,Claude-3.5-Sonnet,81.80519342422485,C3,82.04923868179321
de-en,it,sacrebleu,155,G35,GPT-3.5-Turbo,83.31889510154724,C3,85.42560935020447
de-en,it,sacrebleu,156,C35,Claude-3.5-Sonnet,65.69380164146423,C35,65.69380164146423
de-en,it,sacrebleu,157,G35,GPT-3.5-Turbo,63.00750374794006,C3,75.87116956710815
de-en,it,sacrebleu,158,G35,GPT-3.5-Turbo,65.12271761894226,G4o,75.69491267204285
de-en,it,sacrebleu,159,G4o,GPT-4o,56.475991010665894,C3,58.126187324523926
de-en,it,sacrebleu,160,G4o,GPT-4o,60.25025248527527,C35,60.35999059677124
de-en,it,sacrebleu,161,G4o,GPT-4o,82.92431831359863,C35,84.79278683662415
de-en,it,sacrebleu,162,C35,Claude-3.5-Sonnet,69.82776522636414,GP,70.56542634963989
de-en,it,sacrebleu,163,G4o,GPT-4o,73.39834570884705,G4o,73.39834570884705
de-en,it,sacrebleu,164,C3,Claude-3-Opus,72.14050889015198,G4o,72.35588431358337
de-en,it,sacrebleu,165,G35,GPT-3.5-Turbo,68.8834011554718,C3,68.8834011554718
de-en,it,sacrebleu,166,C35,Claude-3.5-Sonnet,66.17975234985352,C3,66.87801480293274
de-en,it,sacrebleu,167,C3,Claude-3-Opus,99.56241846084595,C35,99.56241846084595
de-en,it,sacrebleu,168,G35,GPT-3.5-Turbo,53.52445840835571,C35,68.04008483886719
de-en,it,sacrebleu,169,C35,Claude-3.5-Sonnet,76.99987888336182,GP,82.63356685638428
de-en,it,sacrebleu,170,G4o,GPT-4o,82.61328935623169,C35,83.68591666221619
de-en,it,sacrebleu,171,G4o,GPT-4o,69.76447105407715,G4o,69.76447105407715
de-en,it,sacrebleu,172,G4o,GPT-4o,75.92926621437073,C3,77.36995816230774
de-en,it,sacrebleu,173,G4o,GPT-4o,69.03459429740906,C3,71.25632166862488
de-en,it,sacrebleu,174,G35,GPT-3.5-Turbo,55.19112944602966,C3,80.34118413925171
de-en,it,sacrebleu,175,G4o,GPT-4o,65.02688527107239,G35,69.90551948547363
de-en,it,sacrebleu,176,C35,Claude-3.5-Sonnet,76.38486623764038,C3,76.91690325737
de-en,it,sacrebleu,177,G35,GPT-3.5-Turbo,74.17765259742737,C3,77.64631509780884
de-en,it,sacrebleu,178,C35,Claude-3.5-Sonnet,70.62581777572632,C3,86.04919910430908
de-en,it,sacrebleu,179,C3,Claude-3-Opus,89.54626321792603,C35,89.54626321792603
de-en,it,sacrebleu,180,G35,GPT-3.5-Turbo,77.41904258728027,G4o,78.94920110702515
de-en,it,sacrebleu,181,G4o,GPT-4o,70.99862098693848,C35,72.39093780517578
de-en,it,sacrebleu,182,G4o,GPT-4o,85.36315560340881,C35,85.36315560340881
de-en,it,sacrebleu,183,C3,Claude-3-Opus,80.98375201225281,C3,80.98375201225281
de-en,it,sacrebleu,184,G35,GPT-3.5-Turbo,76.9262969493866,G35,76.9262969493866
de-en,it,sacrebleu,185,C3,Claude-3-Opus,64.97514247894287,C35,71.07974886894226
de-en,it,sacrebleu,186,G35,GPT-3.5-Turbo,81.16346597671509,C3,82.83178210258484
de-en,it,sacrebleu,187,G4o,GPT-4o,74.13913011550903,GP,75.44336915016174
de-en,it,sacrebleu,188,G4o,GPT-4o,72.67284989356995,C35,73.83447289466858
de-en,it,sacrebleu,189,G4o,GPT-4o,76.46697163581848,C35,76.87167525291443
de-en,it,sacrebleu,190,C3,Claude-3-Opus,74.18375015258789,C3,74.18375015258789
de-en,it,sacrebleu,191,G4o,GPT-4o,68.05239915847778,C35,68.41168403625488
de-en,it,sacrebleu,192,G4o,GPT-4o,59.488701820373535,C35,59.61875319480896
de-en,it,sacrebleu,193,C3,Claude-3-Opus,59.00958776473999,G35,62.824517488479614
de-en,it,sacrebleu,194,C35,Claude-3.5-Sonnet,88.11044096946716,C3,89.27155137062073
de-en,it,sacrebleu,195,G4o,GPT-4o,70.17771601676941,C35,72.74026870727539
de-en,it,sacrebleu,196,C3,Claude-3-Opus,76.99195146560669,G4o,81.25461339950562
de-en,it,sacrebleu,197,G35,GPT-3.5-Turbo,77.5852620601654,GP,78.50639820098877
de-en,it,sacrebleu,198,C3,Claude-3-Opus,77.7525246143341,G4o,80.09563088417053
de-en,it,sacrebleu,199,C3,Claude-3-Opus,75.14886260032654,C35,75.63095092773438
de-en,it,chrf_pp,0,GP,Gemini-Pro,83.61838459968567,G35,87.17562556266785
de-en,it,chrf_pp,1,G4o,GPT-4o,79.5245110988617,C3,79.96767163276672
de-en,it,chrf_pp,2,GP,Gemini-Pro,56.887638568878174,C35,65.14286398887634
de-en,it,chrf_pp,3,G35,GPT-3.5-Turbo,68.77401471138,C3,75.10203719139099
de-en,it,chrf_pp,4,G4o,GPT-4o,69.8790967464447,C35,69.8790967464447
de-en,it,chrf_pp,5,G4o,GPT-4o,75.05122423171997,G4o,75.05122423171997
de-en,it,chrf_pp,6,G35,GPT-3.5-Turbo,64.54141139984131,C35,69.676274061203
de-en,it,chrf_pp,7,C35,Claude-3.5-Sonnet,84.05078053474426,C35,84.05078053474426
de-en,it,chrf_pp,8,C35,Claude-3.5-Sonnet,69.06330585479736,C35,69.06330585479736
de-en,it,chrf_pp,9,GP,Gemini-Pro,55.172526836395264,C3,59.680360555648804
de-en,it,chrf_pp,10,G4o,GPT-4o,86.18940711021423,G4o,86.18940711021423
de-en,it,chrf_pp,11,G4o,GPT-4o,73.65972995758057,C3,76.06674432754517
de-en,it,chrf_pp,12,G35,GPT-3.5-Turbo,83.45788717269897,G4o,83.74404907226562
de-en,it,chrf_pp,13,G4o,GPT-4o,80.05500435829163,C35,82.75551795959473
de-en,it,chrf_pp,14,C35,Claude-3.5-Sonnet,80.79878091812134,C3,82.7452301979065
de-en,it,chrf_pp,15,G4o,GPT-4o,77.56216526031494,C35,82.52702951431274
de-en,it,chrf_pp,16,C35,Claude-3.5-Sonnet,73.39051961898804,C35,73.39051961898804
de-en,it,chrf_pp,17,G35,GPT-3.5-Turbo,59.536826610565186,C3,77.32316255569458
de-en,it,chrf_pp,18,G4o,GPT-4o,70.90848088264465,GP,70.90848088264465
de-en,it,chrf_pp,19,G35,GPT-3.5-Turbo,73.71887564659119,G35,73.71887564659119
de-en,it,chrf_pp,20,G35,GPT-3.5-Turbo,67.75199770927429,C3,82.11610317230225
de-en,it,chrf_pp,21,G4o,GPT-4o,81.44548535346985,C35,81.44548535346985
de-en,it,chrf_pp,22,GP,Gemini-Pro,64.87932205200195,G4o,84.6933901309967
de-en,it,chrf_pp,23,C3,Claude-3-Opus,77.33541131019592,G35,78.22427153587341
de-en,it,chrf_pp,24,G35,GPT-3.5-Turbo,76.42366290092468,C35,91.30281805992126
de-en,it,chrf_pp,25,G35,GPT-3.5-Turbo,64.60663080215454,G4o,74.13796782493591
de-en,it,chrf_pp,26,G4o,GPT-4o,85.62122583389282,C3,85.62122583389282
de-en,it,chrf_pp,27,GP,Gemini-Pro,53.58628034591675,C3,61.50089502334595
de-en,it,chrf_pp,28,G35,GPT-3.5-Turbo,65.10984301567078,C3,82.02456831932068
de-en,it,chrf_pp,29,C3,Claude-3-Opus,73.97474646568298,C35,73.97474646568298
de-en,it,chrf_pp,30,C35,Claude-3.5-Sonnet,69.90872621536255,GP,74.50616955757141
de-en,it,chrf_pp,31,C35,Claude-3.5-Sonnet,58.86121988296509,G35,59.86883044242859
de-en,it,chrf_pp,32,C35,Claude-3.5-Sonnet,77.41682529449463,C3,78.03694009780884
de-en,it,chrf_pp,33,G4o,GPT-4o,88.4819507598877,C35,88.48199248313904
de-en,it,chrf_pp,34,G4o,GPT-4o,78.27335000038147,C3,80.57602643966675
de-en,it,chrf_pp,35,G4o,GPT-4o,82.7624499797821,C35,82.95820355415344
de-en,it,chrf_pp,36,G35,GPT-3.5-Turbo,63.670605421066284,C3,81.63415789604187
de-en,it,chrf_pp,37,G35,GPT-3.5-Turbo,97.43679165840149,GP,97.43685722351074
de-en,it,chrf_pp,38,C3,Claude-3-Opus,81.98401927947998,C3,81.98401927947998
de-en,it,chrf_pp,39,GP,Gemini-Pro,64.31783437728882,G35,74.59954619407654
de-en,it,chrf_pp,40,G35,GPT-3.5-Turbo,50.90155601501465,C35,75.88603496551514
de-en,it,chrf_pp,41,G4o,GPT-4o,74.34988021850586,GP,74.46731328964233
de-en,it,chrf_pp,42,C35,Claude-3.5-Sonnet,78.8059949874878,C35,78.8059949874878
de-en,it,chrf_pp,43,GP,Gemini-Pro,65.40858149528503,G35,67.98861622810364
de-en,it,chrf_pp,44,G4o,GPT-4o,72.32689261436462,C3,72.32705354690552
de-en,it,chrf_pp,45,G35,GPT-3.5-Turbo,68.67648363113403,G4o,88.89636993408203
de-en,it,chrf_pp,46,G4o,GPT-4o,79.29845452308655,C35,79.30822968482971
de-en,it,chrf_pp,47,G35,GPT-3.5-Turbo,40.85966944694519,C3,85.34505367279053
de-en,it,chrf_pp,48,G35,GPT-3.5-Turbo,65.03788232803345,C3,71.25953435897827
de-en,it,chrf_pp,49,G4o,GPT-4o,73.4959363937378,C35,75.85298418998718
de-en,it,chrf_pp,50,C3,Claude-3-Opus,78.64606380462646,C3,78.64606380462646
de-en,it,chrf_pp,51,G4o,GPT-4o,82.33292698860168,G4o,82.33292698860168
de-en,it,chrf_pp,52,G35,GPT-3.5-Turbo,64.43952918052673,C3,77.70610451698303
de-en,it,chrf_pp,53,G35,GPT-3.5-Turbo,63.81455659866333,G4o,76.38620734214783
de-en,it,chrf_pp,54,G35,GPT-3.5-Turbo,58.64335298538208,C35,77.31202244758606
de-en,it,chrf_pp,55,G35,GPT-3.5-Turbo,60.828399658203125,G35,60.828399658203125
de-en,it,chrf_pp,56,G35,GPT-3.5-Turbo,86.48066520690918,C35,86.48066520690918
de-en,it,chrf_pp,57,G4o,GPT-4o,81.41059279441833,C3,86.06189489364624
de-en,it,chrf_pp,58,GP,Gemini-Pro,79.61555123329163,C35,81.21654391288757
de-en,it,chrf_pp,59,G35,GPT-3.5-Turbo,71.42497301101685,G4o,84.23522114753723
de-en,it,chrf_pp,60,GP,Gemini-Pro,58.86627435684204,C35,86.67334914207458
de-en,it,chrf_pp,61,C3,Claude-3-Opus,69.77311372756958,C35,72.05525636672974
de-en,it,chrf_pp,62,G35,GPT-3.5-Turbo,72.24045395851135,C35,72.24045395851135
de-en,it,chrf_pp,63,G4o,GPT-4o,63.572949171066284,G4o,63.572949171066284
de-en,it,chrf_pp,64,C3,Claude-3-Opus,80.96817135810852,G4o,81.69723153114319
de-en,it,chrf_pp,65,GP,Gemini-Pro,38.090771436691284,C35,54.9763560295105
de-en,it,chrf_pp,66,C3,Claude-3-Opus,75.77388882637024,G4o,78.51262092590332
de-en,it,chrf_pp,67,C3,Claude-3-Opus,74.03604388237,C3,74.03604388237
de-en,it,chrf_pp,68,C3,Claude-3-Opus,77.17333436012268,C35,77.66436338424683
de-en,it,chrf_pp,69,C35,Claude-3.5-Sonnet,80.55110573768616,C3,80.8093786239624
de-en,it,chrf_pp,70,C3,Claude-3-Opus,76.63100361824036,G4o,77.32887864112854
de-en,it,chrf_pp,71,G4o,GPT-4o,66.86639189720154,C3,66.86639189720154
de-en,it,chrf_pp,72,G4o,GPT-4o,58.78679156303406,C35,61.13705039024353
de-en,it,chrf_pp,73,GP,Gemini-Pro,67.56987571716309,C35,79.98567819595337
de-en,it,chrf_pp,74,G4o,GPT-4o,73.90324473381042,GP,78.1207263469696
de-en,it,chrf_pp,75,C35,Claude-3.5-Sonnet,63.36875557899475,GP,68.00736784934998
de-en,it,chrf_pp,76,C3,Claude-3-Opus,76.11782550811768,GP,76.11782550811768
de-en,it,chrf_pp,77,C3,Claude-3-Opus,78.4104585647583,C35,79.70301508903503
de-en,it,chrf_pp,78,G4o,GPT-4o,80.24026155471802,C35,81.10178112983704
de-en,it,chrf_pp,79,GP,Gemini-Pro,69.07344460487366,G4o,74.67427849769592
de-en,it,chrf_pp,80,C35,Claude-3.5-Sonnet,75.47585368156433,G35,69.60234642028809
de-en,it,chrf_pp,81,GP,Gemini-Pro,53.84018421173096,C35,63.04974555969238
de-en,it,chrf_pp,82,GP,Gemini-Pro,82.6695442199707,C3,85.76461672782898
de-en,it,chrf_pp,83,G35,GPT-3.5-Turbo,81.76204562187195,C35,81.76204562187195
de-en,it,chrf_pp,84,G35,GPT-3.5-Turbo,65.67392349243164,G4o,73.83747696876526
de-en,it,chrf_pp,85,GP,Gemini-Pro,66.17305874824524,C35,75.21387934684753
de-en,it,chrf_pp,86,G35,GPT-3.5-Turbo,69.40128207206726,C35,92.17385649681091
de-en,it,chrf_pp,87,C35,Claude-3.5-Sonnet,66.79139137268066,GP,72.02982902526855
de-en,it,chrf_pp,88,GP,Gemini-Pro,38.826531171798706,C35,93.47360730171204
de-en,it,chrf_pp,89,G35,GPT-3.5-Turbo,79.09461855888367,G35,79.09461855888367
de-en,it,chrf_pp,90,G35,GPT-3.5-Turbo,70.61156034469604,C35,81.01441860198975
